Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39201.3337100	1.176e+002	1.654e+002	2.159e-002	2.049e+001	2.978e+002
39201.3340500	1.191e+002	1.370e+002	9.000e-002	2.057e+001	2.537e+002
39201.3344000	1.287e+002	1.999e+002	6.135e-002	2.069e+001	3.555e+002
39201.3347500	1.264e+002	1.973e+002	3.053e-002	2.077e+001	3.506e+002
39201.3350900	1.264e+002	1.974e+002	2.468e-002	2.081e+001	3.509e+002
39201.3354400	1.231e+002	1.889e+002	6.046e-002	2.081e+001	3.364e+002
39201.3357900	1.077e+002	1.618e+002	4.104e-002	2.089e+001	2.888e+002
39201.3361400	1.251e+002	1.923e+002	3.168e-002	2.093e+001	3.424e+002
39201.3364800	1.090e+002	1.576e+002	6.279e-002	2.097e+001	2.827e+002
39201.3368300	7.269e+001	9.148e+001	9.466e-002	2.105e+001	1.672e+002
39201.3371800	6.051e+001	6.799e+001	2.319e-002	2.109e+001	1.264e+002
39201.3375300	6.439e+001	7.651e+001	2.159e-002	2.117e+001	1.410e+002
39201.3378700	5.942e+001	6.775e+001	6.667e-002	2.117e+001	1.257e+002
39201.3382200	5.922e+001	6.366e+001	8.940e-002	2.121e+001	1.192e+002
39201.3385700	6.800e+001	7.945e+001	7.357e-002	2.125e+001	1.468e+002
39201.3389100	7.372e+001	8.699e+001	3.279e-002	2.129e+001	1.605e+002
39201.3392600	8.725e+001	1.147e+002	9.313e-002	2.129e+001	2.084e+002
39201.3396100	7.072e+001	9.255e+001	8.738e-002	2.133e+001	1.682e+002
39201.3399600	7.782e+001	1.028e+002	6.640e-002	2.133e+001	1.866e+002
39201.3403000	6.809e+001	7.968e+001	5.388e-002	2.137e+001	1.472e+002
39201.3406500	6.164e+001	7.080e+001	8.467e-002	2.137e+001	1.312e+002
39201.3410000	6.307e+001	7.083e+001	5.487e-002	2.137e+001	1.317e+002
39201.3413400	4.608e+001	4.214e+001	3.053e-002	2.137e+001	8.116e+001
39201.3416900	4.862e+001	4.575e+001	2.159e-002	2.137e+001	8.764e+001
39201.3420400	5.559e+001	5.692e+001	5.927e-002	2.137e+001	1.074e+002
39201.3423900	4.318e+001	3.039e+001	2.353e-001	2.137e+001	6.178e+001
39201.3427300	4.510e+001	5.635e+001	1.986e-002	2.117e+001	6.123e+001
39201.3430800	4.972e+001	3.429e+001	2.159e-002	2.101e+001	7.005e+001
39201.3434300	5.075e+001	3.455e+001	1.197e-002	2.081e+001	7.078e+001
39201.3437800	5.107e+001	3.504e+001	1.796e-002	2.069e+001	7.167e+001
39201.3441200	5.117e+001	3.502e+001	1.893e-002	2.053e+001	7.166e+001
39201.3444700	5.149e+001	3.517e+001	1.339e-002	2.041e+001	7.200e+001
39201.3448200	5.161e+001	3.518e+001	1.197e-002	2.029e+001	7.206e+001
39201.3451600	5.173e+001	3.538e+001	1.466e-002	2.017e+001	7.240e+001
39201.3455100	5.186e+001	3.521e+001	1.466e-002	2.005e+001	7.219e+001
39201.3458600	5.201e+001	3.545e+001	1.339e-002	1.997e+001	7.261e+001
39201.3462100	5.193e+001	3.533e+001	1.339e-002	1.985e+001	7.239e+001
39201.3465500	5.208e+001	3.556e+001	1.796e-002	1.977e+001	7.281e+001
39201.3469000	5.223e+001	3.562e+001	1.466e-002	1.969e+001	7.294e+001
39201.3472500	5.238e+001	3.567e+001	1.339e-002	1.961e+001	7.308e+001
39201.3475900	5.254e+001	3.591e+001	1.893e-002	1.953e+001	7.350e+001
39201.3479400	5.248e+001	3.583e+001	1.584e-002	1.945e+001	7.336e+001
39201.3482900	5.287e+001	3.606e+001	1.584e-002	1.941e+001	7.385e+001
39201.3486400	5.281e+001	3.616e+001	1.339e-002	1.933e+001	7.399e+001
39201.3489800	5.299e+001	3.608e+001	1.197e-002	1.929e+001	7.392e+001
39201.3493300	5.294e+001	3.618e+001	1.339e-002	1.921e+001	7.406e+001
39201.3496800	5.312e+001	3.628e+001	1.339e-002	1.917e+001	7.427e+001
39201.3500300	5.351e+001	3.634e+001	1.197e-002	1.913e+001	7.449e+001
39201.3503700	5.346e+001	3.625e+001	1.693e-002	1.905e+001	7.434e+001
39201.3507200	5.387e+001	6.871e+001	1.796e-002	1.905e+001	7.463e+001
39201.3510700	5.405e+001	6.918e+001	1.796e-002	1.901e+001	7.514e+001
39201.3514100	5.423e+001	6.938e+001	1.584e-002	1.897e+001	7.535e+001
39201.3517600	5.418e+001	6.924e+001	1.466e-002	1.889e+001	7.520e+001
39201.3521100	5.439e+001	3.698e+001	1.339e-002	1.889e+001	7.579e+001
39201.3524600	5.434e+001	6.937e+001	1.339e-002	1.881e+001	7.535e+001
39201.3528000	5.452e+001	6.957e+001	1.197e-002	1.877e+001	7.556e+001
39201.3531500	5.495e+001	7.011e+001	1.197e-002	1.877e+001	7.615e+001
39201.3535000	5.516e+001	3.743e+001	1.197e-002	1.877e+001	7.674e+001
39201.3538400	5.535e+001	3.753e+001	1.339e-002	1.873e+001	7.697e+001
39201.3541900	5.578e+001	7.114e+001	1.197e-002	1.873e+001	7.727e+001
39201.3545400	5.575e+001	7.106e+001	1.339e-002	1.869e+001	7.719e+001
39201.3548900	5.618e+001	7.162e+001	1.339e-002	1.869e+001	7.779e+001
39201.3552300	5.591e+001	7.120e+001	1.339e-002	1.861e+001	7.734e+001
39201.3555800	5.591e+001	7.148e+001	1.466e-002	1.861e+001	7.764e+001
39201.3559300	5.589e+001	3.799e+001	1.339e-002	1.857e+001	7.786e+001
39201.3562800	5.567e+001	7.113e+001	1.584e-002	1.857e+001	7.726e+001
39201.3566200	9.973e+001	1.031e+002	6.982e-002	1.853e+001	1.943e+002
39201.3569700	6.270e+001	7.726e+001	2.193e-001	1.849e+001	8.398e+001
39201.3573200	9.048e+001	6.692e+001	7.429e-002	1.845e+001	7.381e+001
39201.3576600	8.878e+001	8.225e+001	8.296e-002	1.849e+001	9.005e+001
39201.3580100	4.589e+001	4.365e+001	1.497e-001	1.857e+001	4.776e+001
39201.3583600	1.123e+002	9.203e+001	1.339e-002	1.881e+001	1.012e+002
39201.3587100	1.056e+002	8.047e+001	1.197e-002	1.881e+001	8.867e+001
39201.3590500	1.055e+002	8.504e+001	1.339e-002	1.877e+001	9.352e+001
39201.3594000	1.051e+002	8.677e+001	1.197e-002	1.877e+001	9.535e+001
39201.3597500	1.043e+002	8.679e+001	1.197e-002	1.877e+001	9.535e+001
39201.3600900	1.059e+002	8.771e+001	1.339e-002	1.873e+001	9.637e+001
39201.3604400	1.080e+002	8.907e+001	1.197e-002	1.873e+001	9.788e+001
39201.3607900	1.096e+002	9.010e+001	1.339e-002	1.873e+001	9.902e+001
39201.3611400	1.113e+002	9.106e+001	1.339e-002	1.869e+001	1.001e+002
39201.3614800	1.122e+002	9.213e+001	1.197e-002	1.869e+001	1.013e+002
39201.3618300	1.121e+002	9.241e+001	1.466e-002	1.865e+001	1.016e+002
39201.3621800	1.125e+002	9.268e+001	1.466e-002	1.861e+001	1.019e+002
39201.3625300	1.138e+002	9.302e+001	1.197e-002	1.861e+001	1.022e+002
39201.3628700	1.133e+002	9.294e+001	1.339e-002	1.857e+001	1.022e+002
39201.3632200	1.133e+002	9.332e+001	1.197e-002	1.857e+001	1.025e+002
39201.3635700	1.133e+002	9.323e+001	1.339e-002	1.853e+001	1.025e+002
39201.3639100	1.133e+002	9.313e+001	1.466e-002	1.849e+001	1.024e+002
39201.3642600	1.132e+002	9.304e+001	1.197e-002	1.845e+001	1.023e+002
39201.3646100	1.137e+002	9.341e+001	1.339e-002	1.845e+001	1.027e+002
39201.3649600	1.141e+002	9.377e+001	1.197e-002	1.845e+001	1.031e+002
39201.3653000	1.145e+002	9.413e+001	1.197e-002	1.845e+001	1.035e+002
39201.3656500	1.145e+002	9.413e+001	1.197e-002	1.845e+001	1.035e+002
39201.3660000	1.145e+002	9.451e+001	1.197e-002	1.845e+001	1.039e+002
39201.3663400	1.132e+002	9.221e+001	1.339e-002	1.841e+001	1.014e+002
39201.3666900	1.115e+002	8.591e+001	1.339e-002	1.845e+001	9.462e+001
39201.3670400	1.115e+002	8.626e+001	1.197e-002	1.845e+001	9.499e+001
39201.3673900	1.119e+002	8.659e+001	1.197e-002	1.845e+001	9.536e+001
39201.3677300	1.119e+002	8.659e+001	1.037e-002	1.845e+001	9.536e+001
39201.3680800	1.123e+002	8.693e+001	1.197e-002	1.845e+001	9.573e+001
39201.3684300	1.119e+002	8.651e+001	1.037e-002	1.841e+001	9.527e+001
39201.3687800	1.114e+002	8.652e+001	1.197e-002	1.841e+001	9.527e+001
39201.3691200	1.119e+002	8.651e+001	1.197e-002	1.841e+001	9.527e+001
39201.3694700	1.118e+002	8.608e+001	1.197e-002	1.837e+001	9.481e+001
39201.3698200	1.123e+002	8.684e+001	1.037e-002	1.841e+001	9.564e+001
39201.3701600	1.118e+002	8.642e+001	1.339e-002	1.837e+001	9.518e+001
39201.3705100	1.118e+002	8.677e+001	1.197e-002	1.837e+001	9.555e+001
39201.3708600	4.689e+001	4.013e+001	2.147e-001	1.845e+001	4.405e+001
39201.3712100	1.725e+001	1.303e+001	1.667e-001	1.877e+001	1.436e+001
39201.3715500	2.080e+001	1.699e+001	1.005e-001	1.913e+001	1.868e+001
39201.3719000	3.614e+001	3.919e+001	1.415e-001	1.949e+001	4.273e+001
39201.3722500	1.666e+001	1.777e+001	1.547e-001	1.973e+001	1.938e+001
39201.3725900	8.508e+001	1.021e+002	1.167e-001	1.997e+001	1.110e+002
39201.3729400	2.447e+002	2.253e+002	1.310e-001	2.037e+001	4.334e+002
39201.3732900	1.258e+002	1.184e+002	7.549e-002	2.073e+001	2.268e+002
39201.3736400	1.460e+002	1.433e+002	1.200e-001	2.105e+001	2.725e+002
39201.3739800	1.599e+002	1.305e+002	5.648e-002	2.137e+001	2.569e+002
39201.3743300	1.748e+002	1.697e+002	1.333e-001	2.153e+001	3.233e+002
39201.3746800	1.531e+002	1.415e+002	7.159e-002	2.173e+001	2.720e+002
39201.3750300	1.787e+002	1.794e+002	1.284e-001	2.193e+001	3.398e+002
39201.3753700	1.212e+002	1.329e+002	5.388e-002	2.209e+001	2.480e+002
39201.3757200	1.133e+002	1.245e+002	6.164e-002	2.225e+001	2.323e+002
39201.3760700	1.303e+002	1.250e+002	1.148e-001	2.245e+001	2.386e+002
39201.3764100	1.468e+002	1.336e+002	6.448e-002	2.261e+001	2.575e+002
39201.3767600	2.210e+002	2.331e+002	1.170e-001	2.277e+001	4.377e+002
39201.3771100	1.203e+002	1.145e+002	1.208e-001	2.289e+001	2.189e+002
39201.3774600	1.639e+002	1.514e+002	1.203e-001	2.301e+001	2.911e+002
39201.3778000	1.452e+002	1.294e+002	8.424e-002	2.313e+001	2.504e+002
39201.3781500	1.346e+002	1.373e+002	5.835e-002	2.317e+001	2.594e+002
39201.3785000	1.321e+002	1.374e+002	3.926e-002	2.321e+001	2.586e+002
39201.3788400	1.338e+002	1.270e+002	9.541e-002	2.333e+001	2.430e+002
39201.3791900	1.423e+002	1.180e+002	9.616e-002	2.341e+001	2.316e+002
39201.3795400	1.350e+002	1.487e+002	4.637e-002	2.345e+001	2.773e+002
39201.3798900	1.088e+002	1.162e+002	7.760e-002	2.357e+001	2.178e+002
39201.3802300	1.521e+002	1.586e+002	1.178e-001	2.369e+001	2.984e+002
39201.3805800	1.594e+002	1.582e+002	1.446e-001	2.381e+001	3.002e+002
39201.3809300	1.501e+002	1.621e+002	5.742e-002	2.393e+001	3.033e+002
39201.3812800	1.362e+002	1.533e+002	8.274e-002	2.405e+001	2.849e+002
39201.3816200	1.198e+002	1.357e+002	5.421e-002	2.417e+001	2.519e+002
39201.3819700	1.407e+002	1.532e+002	9.541e-002	2.429e+001	2.863e+002
39201.3823200	2.192e+002	2.205e+002	1.325e-001	2.433e+001	4.175e+002
39201.3826600	1.708e+002	1.358e+002	1.234e-001	2.437e+001	2.688e+002
39201.3830100	4.416e+001	3.028e+001	1.312e-001	2.437e+001	6.194e+001
39201.3833600	6.614e+000	7.598e+000	1.253e-001	2.421e+001	8.272e+000
