Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39558.2920400	7.378e+001	6.614e+001	6.193e-002	1.917e+001	7.249e+001
39558.2923900	8.147e+001	7.151e+001	2.871e-002	1.961e+001	7.843e+001
39558.2927300	8.183e+001	7.289e+001	7.159e-002	2.005e+001	7.990e+001
39558.2930800	1.162e+002	8.245e+001	1.073e-001	2.053e+001	9.109e+001
39558.2934300	1.547e+002	1.011e+002	9.982e-002	2.089e+001	1.121e+002
39558.2937800	1.551e+002	1.108e+002	1.292e-001	2.125e+001	1.224e+002
39558.2941200	6.339e+001	4.571e+001	1.179e-001	2.157e+001	5.046e+001
39558.2944700	3.647e+000	3.559e+000	1.123e-001	2.177e+001	3.891e+000
39558.2948200	9.138e+000	8.431e+000	8.980e-002	2.201e+001	9.233e+000
39558.2951600	6.121e+000	4.905e+000	1.287e-001	2.217e+001	9.694e+000
39558.2955100	1.061e+001	8.470e+000	1.243e-001	2.229e+001	1.675e+001
39558.2958600	2.964e+001	2.741e+001	1.869e-001	2.245e+001	3.001e+001
39558.2962100	6.191e+001	4.965e+001	9.485e-002	2.265e+001	5.461e+001
39558.2965500	7.940e+001	6.494e+001	7.806e-002	2.293e+001	7.138e+001
39558.2969000	6.708e+001	5.255e+001	1.893e-002	2.321e+001	5.784e+001
39558.2972500	6.598e+001	5.189e+001	2.744e-002	2.349e+001	5.711e+001
39558.2975900	4.542e+001	3.334e+001	7.965e-002	2.385e+001	3.678e+001
39558.2979400	5.248e+001	4.551e+001	2.319e-002	2.425e+001	4.993e+001
39558.2982900	5.239e+001	4.520e+001	6.164e-002	2.445e+001	4.960e+001
39558.2986400	5.233e+001	4.567e+001	3.111e-002	2.469e+001	5.010e+001
39558.2989800	5.200e+001	4.490e+001	4.399e-002	2.481e+001	4.927e+001
39558.2993300	5.050e+001	4.352e+001	3.592e-002	2.497e+001	4.776e+001
39558.2996800	5.219e+001	4.509e+001	5.388e-002	2.513e+001	4.948e+001
39558.3000300	5.673e+001	5.002e+001	3.786e-002	2.533e+001	5.485e+001
39558.3003700	5.618e+001	4.984e+001	4.480e-002	2.549e+001	5.464e+001
39558.3007200	5.805e+001	5.163e+001	3.592e-002	2.565e+001	5.660e+001
39558.3010700	5.951e+001	5.286e+001	3.542e-002	2.581e+001	5.795e+001
39558.3014100	5.961e+001	5.308e+001	5.115e-002	2.597e+001	5.818e+001
39558.3017600	7.271e+001	7.222e+001	9.371e-002	2.613e+001	7.892e+001
