Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39166.3131200	3.117e+001	4.219e+001	1.107e-001	2.145e+001	7.634e+001
39166.3134600	3.327e+001	4.301e+001	5.648e-002	2.153e+001	7.831e+001
39166.3138100	1.023e+001	1.149e+001	9.139e-002	2.165e+001	2.136e+001
39166.3141600	1.237e+001	1.466e+001	1.221e-001	2.177e+001	2.703e+001
39166.3145000	3.301e+001	4.151e+001	6.448e-002	2.185e+001	7.589e+001
39166.3148500	3.510e+001	4.519e+001	7.134e-002	2.197e+001	8.233e+001
39166.3152000	3.419e+001	4.331e+001	5.253e-002	2.209e+001	7.908e+001
39166.3155500	4.066e+001	5.404e+001	8.655e-002	2.221e+001	9.803e+001
39166.3158900	4.026e+001	5.290e+001	5.774e-002	2.237e+001	9.612e+001
39166.3162400	3.950e+001	5.105e+001	3.691e-002	2.245e+001	9.296e+001
39166.3165900	3.151e+001	3.844e+001	8.274e-002	2.257e+001	7.058e+001
39166.3169300	8.519e+000	1.088e+001	8.317e-002	2.265e+001	1.985e+001
39166.3172800	1.790e+001	2.002e+001	9.409e-002	2.213e+001	3.725e+001
39166.3176300	8.666e+000	6.104e+000	8.717e-002	2.181e+001	1.241e+001
39166.3179800	1.865e+001	1.909e+001	6.076e-002	2.193e+001	3.604e+001
39166.3183200	2.141e+001	2.210e+001	5.552e-002	2.205e+001	4.165e+001
39166.3186700	2.223e+001	2.341e+001	5.835e-002	2.217e+001	4.397e+001
39166.3190200	2.030e+001	2.124e+001	7.829e-002	2.225e+001	3.995e+001
39166.3193700	2.195e+001	2.409e+001	3.111e-002	2.241e+001	4.495e+001
39166.3197100	2.164e+001	2.369e+001	4.599e-002	2.253e+001	4.422e+001
39166.3200600	2.375e+001	2.561e+001	7.573e-002	2.261e+001	4.793e+001
39166.3204100	2.627e+001	2.752e+001	7.134e-002	2.269e+001	5.174e+001
39166.3207500	2.529e+001	2.693e+001	6.017e-002	2.281e+001	5.050e+001
39166.3211000	2.510e+001	2.625e+001	7.454e-002	2.285e+001	4.937e+001
39166.3214500	2.434e+001	2.648e+001	8.403e-002	2.293e+001	4.948e+001
39166.3218000	2.144e+001	2.497e+001	8.252e-002	2.297e+001	4.616e+001
39166.3221400	2.046e+001	2.355e+001	3.786e-002	2.305e+001	4.362e+001
39166.3224900	2.210e+001	2.241e+001	8.940e-002	2.313e+001	4.236e+001
39166.3228400	2.493e+001	2.284e+001	7.184e-002	2.321e+001	4.397e+001
39166.3231800	2.240e+001	2.201e+001	8.738e-002	2.325e+001	4.184e+001
39166.3235300	1.737e+001	1.733e+001	1.215e-001	2.329e+001	3.286e+001
39166.3238800	2.579e+001	2.717e+001	1.167e-001	2.337e+001	5.103e+001
39166.3242300	2.073e+001	2.268e+001	1.102e-001	2.341e+001	4.234e+001
39166.3245700	1.514e+001	1.714e+001	5.774e-002	2.341e+001	3.183e+001
39166.3249200	1.484e+001	1.673e+001	4.440e-002	2.341e+001	3.109e+001
39166.3252700	1.797e+001	1.872e+001	6.904e-002	2.341e+001	3.523e+001
39166.3256200	1.496e+001	1.710e+001	4.016e-002	2.341e+001	3.170e+001
39166.3259600	1.381e+001	1.594e+001	3.168e-002	2.337e+001	2.951e+001
39166.3263100	1.470e+001	1.670e+001	5.219e-002	2.329e+001	3.099e+001
39166.3266600	1.837e+001	1.805e+001	8.614e-002	2.329e+001	3.430e+001
39166.3270000	1.905e+001	2.066e+001	7.760e-002	2.333e+001	3.862e+001
39166.3273500	1.974e+001	2.347e+001	6.076e-002	2.333e+001	4.326e+001
39166.3277000	1.745e+001	1.809e+001	6.640e-002	2.333e+001	3.407e+001
39166.3280500	1.697e+001	1.969e+001	7.109e-002	2.333e+001	3.642e+001
39166.3283900	2.135e+001	2.451e+001	5.253e-002	2.325e+001	4.542e+001
39166.3287400	1.649e+001	2.069e+001	6.693e-002	2.329e+001	3.783e+001
39166.3290900	1.949e+001	2.179e+001	8.530e-002	2.325e+001	4.055e+001
39166.3294300	1.887e+001	2.026e+001	9.946e-002	2.325e+001	3.794e+001
39166.3297800	2.206e+001	2.232e+001	6.558e-002	2.329e+001	4.221e+001
39166.3301300	2.188e+001	2.122e+001	5.253e-002	2.329e+001	4.043e+001
39166.3304800	2.072e+001	2.531e+001	6.667e-002	2.337e+001	4.646e+001
39166.3308200	1.764e+001	1.741e+001	8.488e-002	2.353e+001	3.307e+001
39166.3311700	1.374e+001	1.430e+001	8.296e-002	2.357e+001	2.691e+001
39166.3315200	1.553e+001	1.810e+001	8.738e-002	2.353e+001	3.346e+001
39166.3318700	2.108e+001	2.222e+001	6.956e-002	2.345e+001	4.173e+001
39166.3322100	2.134e+001	2.077e+001	6.503e-002	2.349e+001	3.955e+001
39166.3325600	2.330e+001	2.147e+001	4.358e-002	2.349e+001	4.129e+001
39166.3329100	2.224e+001	2.175e+001	8.799e-002	2.357e+001	4.137e+001
39166.3332500	1.858e+001	2.108e+001	1.005e-001	2.353e+001	3.913e+001
39166.3336000	1.528e+001	1.469e+001	1.089e-001	2.349e+001	2.803e+001
39166.3339500	2.606e+001	2.661e+001	6.904e-002	2.353e+001	5.025e+001
39166.3343000	2.702e+001	2.644e+001	4.789e-002	2.357e+001	5.030e+001
