Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39456.4413600	1.105e+002	1.211e+002	1.104e-001	2.343e+001	2.260e+002
39456.4417000	2.376e+002	3.269e+002	1.115e-001	2.367e+001	5.903e+002
39456.4420500	2.198e+002	3.184e+002	4.148e-002	2.399e+001	5.711e+002
39456.4424000	2.451e+002	3.541e+002	7.058e-002	2.439e+001	6.354e+002
39456.4427500	2.447e+002	3.517e+002	8.382e-002	2.471e+001	6.315e+002
39456.4430900	2.634e+002	3.750e+002	7.332e-002	2.495e+001	6.741e+002
39456.4434400	2.325e+002	3.402e+002	6.076e-002	2.511e+001	6.094e+002
39456.4437900	2.445e+002	3.524e+002	8.403e-002	2.527e+001	6.325e+002
39456.4441300	2.592e+002	3.476e+002	1.297e-001	2.547e+001	6.298e+002
39456.4444800	2.841e+002	4.009e+002	5.742e-002	2.559e+001	7.215e+002
39456.4448300	1.684e+002	1.955e+002	8.758e-002	2.571e+001	3.617e+002
39456.4451800	3.235e+001	2.720e+001	1.339e-001	2.575e+001	5.323e+001
39456.4455200	6.047e+001	6.150e+001	1.439e-001	2.571e+001	6.716e+001
39456.4458700	1.348e+002	1.656e+002	1.130e-001	2.583e+001	1.800e+002
39456.4462200	6.380e+002	9.887e+002	8.143e-002	2.583e+001	1.759e+003
39456.4465600	8.320e+002	1.270e+003	5.957e-002	2.583e+001	2.264e+003
39456.4469100	8.808e+002	1.377e+003	7.549e-002	2.595e+001	2.447e+003
39456.4472600	9.292e+002	1.445e+003	4.233e-002	2.619e+001	2.569e+003
39456.4476100	8.781e+002	1.373e+003	6.193e-002	2.635e+001	2.440e+003
39456.4479500	8.457e+002	1.324e+003	5.804e-002	2.647e+001	2.352e+003
39456.4483000	8.083e+002	1.386e+003	6.392e-002	2.659e+001	2.438e+003
39456.4486500	8.492e+002	1.422e+003	7.084e-002	2.671e+001	2.508e+003
39456.4490000	7.996e+002	1.399e+003	7.806e-002	2.683e+001	2.454e+003
39456.4493400	8.464e+002	1.471e+003	8.032e-002	2.695e+001	2.583e+003
39456.4496900	7.251e+002	1.372e+003	4.275e-002	2.707e+001	2.388e+003
39456.4500400	7.734e+002	1.363e+003	4.599e-002	2.715e+001	2.390e+003
39456.4503800	7.505e+002	1.236e+003	1.202e-001	2.723e+001	2.183e+003
39456.4507300	7.854e+002	1.268e+003	9.523e-002	2.731e+001	2.244e+003
39456.4510800	6.629e+002	1.069e+003	1.415e-001	2.739e+001	1.893e+003
39456.4514300	6.171e+002	9.573e+002	1.444e-001	2.743e+001	1.703e+003
39456.4517700	8.731e+002	1.426e+003	3.592e-002	2.747e+001	2.521e+003
39456.4521200	8.284e+002	1.376e+003	4.827e-002	2.755e+001	2.429e+003
39456.4524700	7.125e+002	1.123e+003	1.274e-001	2.759e+001	1.994e+003
39456.4528100	7.919e+002	1.300e+003	8.758e-002	2.767e+001	2.298e+003
39456.4531600	8.162e+002	1.358e+003	5.219e-002	2.767e+001	2.396e+003
39456.4535100	6.413e+002	1.042e+003	1.324e-001	2.771e+001	1.844e+003
