Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39525.3128700	-5.411e-003	2.013e-002	1.339e-002	2.227e+001	2.979e-002
39525.3132200	-5.411e-003	2.013e-002	1.466e-002	2.227e+001	2.979e-002
39525.3135700	-5.411e-003	2.013e-002	1.037e-002	2.227e+001	2.979e-002
39525.3139100	-5.406e-003	1.503e-002	1.310e-001	2.223e+001	2.178e-002
39525.3142600	-5.323e-003	5.957e-003	1.339e-002	2.227e+001	7.592e-003
39525.3146100	2.214e-001	1.739e-001	2.387e-001	2.227e+001	1.914e-001
39525.3149600	3.120e+000	1.986e+000	6.982e-002	2.243e+001	2.204e+000
39525.3153000	3.315e+000	2.030e+000	5.454e-002	2.275e+001	2.256e+000
39525.3156500	4.364e+000	3.425e+000	4.827e-002	2.307e+001	3.770e+000
39525.3160000	4.295e+000	3.429e+000	7.573e-002	2.343e+001	3.772e+000
39525.3163400	4.244e+000	3.130e+000	4.440e-002	2.379e+001	3.453e+000
39525.3166900	4.218e+000	3.099e+000	9.946e-002	2.407e+001	3.419e+000
39525.3170400	4.998e+000	4.135e+000	7.084e-002	2.435e+001	4.543e+000
39525.3173900	7.696e+000	4.991e+000	1.741e-001	2.459e+001	5.533e+000
39525.3177300	5.029e+000	2.750e+000	1.027e-001	2.467e+001	3.072e+000
39525.3180800	5.205e+000	5.434e+000	1.106e-001	2.447e+001	5.931e+000
39525.3184300	5.269e+000	4.056e+000	1.083e-001	2.431e+001	4.468e+000
39525.3187800	6.013e+001	4.050e+001	9.313e-002	2.411e+001	4.483e+001
39525.3191200	7.381e+000	3.035e+000	1.221e-001	2.395e+001	3.445e+000
39525.3194700	7.491e+000	5.741e+000	1.016e-001	2.371e+001	6.324e+000
39525.3198200	1.171e+000	8.970e-001	1.459e-001	2.347e+001	1.790e+000
39525.3201600	4.759e+000	3.237e+000	9.390e-002	2.339e+001	3.582e+000
39525.3205100	2.420e+000	2.210e+000	9.598e-002	2.331e+001	2.421e+000
39525.3208600	3.724e+001	1.991e+001	6.613e-002	2.331e+001	2.227e+001
39525.3212100	1.538e+001	9.304e+000	9.982e-002	2.351e+001	1.035e+001
39525.3215500	2.249e+001	1.551e+001	9.333e-002	2.363e+001	1.715e+001
39525.3219000	2.932e+001	1.897e+001	5.927e-002	2.375e+001	2.103e+001
39525.3222500	1.280e+001	7.819e+000	1.554e-001	2.399e+001	8.690e+000
39525.3225900	8.936e+000	5.747e+000	1.270e-001	2.419e+001	6.373e+000
39525.3229400	7.175e+000	4.283e+000	8.488e-002	2.451e+001	4.766e+000
