Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39474.1256300	9.798e-001	6.162e-001	7.405e-002	1.185e+001	6.840e-001
39474.1259700	5.872e-001	2.660e-001	7.760e-002	1.237e+001	3.001e-001
39474.1263200	7.035e-001	4.082e-001	7.381e-002	1.317e+001	4.548e-001
39474.1266700	7.645e-001	5.250e-001	8.980e-002	1.409e+001	5.807e-001
39474.1270200	3.435e-001	1.140e-001	7.033e-002	1.509e+001	1.314e-001
39474.1273600	2.904e-001	4.587e-002	7.209e-002	1.605e+001	5.737e-002
39474.1277100	3.672e-001	2.292e-001	6.476e-002	1.697e+001	2.546e-001
39474.1280600	4.504e-001	2.205e-001	6.930e-002	1.789e+001	2.477e-001
39474.1284000	6.558e-001	2.067e-001	9.178e-002	1.865e+001	2.391e-001
39474.1287500	6.789e-001	2.798e-001	8.165e-002	1.917e+001	3.175e-001
39474.1291000	2.454e-001	2.043e-001	6.135e-002	1.969e+001	2.245e-001
39474.1294500	4.994e-001	4.297e-001	8.099e-002	2.045e+001	4.715e-001
39474.1297900	7.060e-001	4.183e-001	7.259e-002	2.121e+001	4.656e-001
39474.1301400	7.776e-001	5.584e-001	6.017e-002	2.197e+001	6.166e-001
39474.1304900	8.021e-001	5.187e-001	6.364e-002	2.269e+001	5.752e-001
39474.1308400	7.378e-001	5.181e-001	7.829e-002	2.345e+001	5.726e-001
39474.1311800	8.150e-001	5.628e-001	7.874e-002	2.421e+001	6.224e-001
39474.1315300	6.394e-001	4.574e-001	5.804e-002	2.481e+001	5.051e-001
39474.1318800	8.522e-001	8.039e-001	6.308e-002	2.517e+001	8.797e-001
39474.1322200	8.146e-001	6.695e-001	8.032e-002	2.541e+001	7.358e-001
39474.1325700	8.569e-001	5.601e-001	7.714e-002	2.569e+001	6.208e-001
39474.1329200	1.041e+000	7.265e-001	7.667e-002	2.593e+001	8.031e-001
39474.1332700	7.542e-001	5.756e-001	6.693e-002	2.609e+001	6.342e-001
39474.1336100	7.848e-001	4.302e-001	9.390e-002	2.625e+001	4.805e-001
39474.1339600	8.660e-001	5.032e-001	6.336e-002	2.641e+001	5.606e-001
39474.1343100	1.175e+000	7.953e-001	5.957e-002	2.657e+001	8.802e-001
39474.1346500	9.107e-001	5.970e-001	7.308e-002	2.669e+001	6.615e-001
39474.1350000	8.176e-001	5.940e-001	6.364e-002	2.677e+001	6.556e-001
39474.1353500	7.090e-001	5.011e-001	6.747e-002	2.689e+001	5.537e-001
39474.1357000	8.357e-001	5.821e-001	6.503e-002	2.701e+001	6.435e-001
39474.1360400	6.913e-001	4.772e-001	8.940e-002	2.713e+001	5.277e-001
39474.1363900	8.936e-001	7.692e-001	7.573e-002	2.733e+001	8.441e-001
39474.1367400	8.306e-001	6.599e-001	8.530e-002	2.753e+001	7.260e-001
39474.1370900	5.889e-001	5.782e-001	8.274e-002	2.765e+001	6.320e-001
39474.1374300	5.134e-001	5.395e-001	6.613e-002	2.773e+001	5.887e-001
39474.1377800	5.104e-001	5.579e-001	6.308e-002	2.781e+001	6.081e-001
39474.1381300	3.459e-001	4.308e-001	6.164e-002	2.793e+001	4.681e-001
39474.1384700	3.652e-001	2.672e-001	5.520e-002	2.797e+001	5.385e-001
39474.1388200	3.864e-001	4.676e-001	5.421e-002	2.809e+001	5.085e-001
39474.1391700	7.908e-001	7.718e-001	8.382e-002	2.821e+001	8.438e-001
39474.1395200	7.779e-001	6.874e-001	7.381e-002	2.833e+001	7.538e-001
39474.1398600	6.012e-001	6.205e-001	8.165e-002	2.841e+001	6.773e-001
