Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39234.0004300	9.705e+001	1.029e+002	1.432e-001	2.463e+001	1.123e+002
39234.0007800	5.778e+001	4.778e+001	2.043e-001	2.467e+001	5.250e+001
39234.0011200	6.796e+001	7.691e+001	1.466e-002	2.479e+001	8.377e+001
39234.0014700	7.209e+001	6.309e+001	2.247e-001	2.479e+001	6.919e+001
39234.0018200	4.976e+001	4.904e+001	1.481e-001	2.503e+001	5.361e+001
39234.0021700	6.975e+001	7.166e+001	1.339e-002	2.503e+001	7.824e+001
39234.0025100	4.708e+001	3.644e+001	8.231e-002	2.499e+001	4.013e+001
39234.0028600	7.080e+001	5.139e+001	1.197e-002	2.495e+001	5.672e+001
39234.0032100	7.387e+001	5.353e+001	1.339e-002	2.487e+001	5.909e+001
39234.0035600	7.127e+001	5.142e+001	1.197e-002	2.483e+001	5.677e+001
39234.0039000	7.181e+001	5.219e+001	1.197e-002	2.479e+001	5.760e+001
39234.0042500	6.455e+001	4.692e+001	3.053e-002	2.475e+001	5.179e+001
39234.0046000	7.289e+001	5.205e+001	1.037e-002	2.471e+001	5.749e+001
39234.0049400	7.286e+001	5.221e+001	1.339e-002	2.467e+001	5.765e+001
39234.0052900	7.344e+001	5.240e+001	1.197e-002	2.467e+001	5.788e+001
39234.0056400	7.457e+001	5.339e+001	1.339e-002	2.463e+001	5.896e+001
39234.0059900	7.422e+001	5.329e+001	1.339e-002	2.455e+001	5.884e+001
39234.0063300	7.449e+001	5.344e+001	1.466e-002	2.451e+001	5.901e+001
39234.0066800	7.475e+001	5.338e+001	1.796e-002	2.447e+001	5.895e+001
39234.0070300	7.472e+001	5.332e+001	2.240e-002	2.443e+001	5.889e+001
39234.0073700	7.469e+001	5.349e+001	1.893e-002	2.439e+001	5.907e+001
39234.0077200	7.496e+001	5.342e+001	2.240e-002	2.435e+001	5.901e+001
39234.0080700	7.493e+001	5.337e+001	1.796e-002	2.431e+001	5.895e+001
39234.0084200	7.490e+001	5.331e+001	1.584e-002	2.427e+001	5.889e+001
39234.0087600	7.428e+001	5.306e+001	1.339e-002	2.423e+001	5.860e+001
39234.0091100	7.458e+001	5.305e+001	1.339e-002	2.423e+001	5.860e+001
39234.0094600	7.484e+001	5.299e+001	1.466e-002	2.419e+001	5.854e+001
39234.0098100	7.514e+001	5.341e+001	1.339e-002	2.419e+001	5.900e+001
39234.0101500	7.449e+001	5.310e+001	1.197e-002	2.411e+001	5.865e+001
39234.0105000	7.508e+001	5.308e+001	1.584e-002	2.411e+001	5.865e+001
39234.0108500	7.446e+001	5.283e+001	1.466e-002	2.407e+001	5.836e+001
39234.0111900	7.475e+001	5.282e+001	1.466e-002	2.407e+001	5.836e+001
39234.0115400	7.414e+001	5.257e+001	1.584e-002	2.403e+001	5.808e+001
39234.0118900	7.382e+001	5.210e+001	1.796e-002	2.399e+001	5.757e+001
39234.0122400	7.379e+001	5.204e+001	1.466e-002	2.395e+001	5.751e+001
39234.0125800	7.408e+001	5.225e+001	1.466e-002	2.395e+001	5.773e+001
39234.0129300	7.376e+001	5.199e+001	1.584e-002	2.391e+001	5.745e+001
39234.0132800	7.376e+001	5.220e+001	1.584e-002	2.391e+001	5.768e+001
39234.0136200	7.370e+001	5.209e+001	1.584e-002	2.383e+001	5.756e+001
39234.0139700	7.458e+001	5.250e+001	1.693e-002	2.383e+001	5.801e+001
39234.0143200	7.426e+001	5.245e+001	1.466e-002	2.379e+001	5.795e+001
39234.0146700	7.455e+001	5.244e+001	1.466e-002	2.379e+001	5.795e+001
39234.0150100	7.455e+001	5.244e+001	1.693e-002	2.379e+001	5.795e+001
39234.0153600	7.452e+001	5.239e+001	1.584e-002	2.375e+001	5.789e+001
39234.0157100	7.482e+001	5.281e+001	1.693e-002	2.375e+001	5.835e+001
39234.0160600	7.482e+001	5.302e+001	1.986e-002	2.375e+001	5.858e+001
39234.0164000	7.479e+001	5.275e+001	1.584e-002	2.371e+001	5.829e+001
39234.0167500	7.476e+001	5.248e+001	1.466e-002	2.367e+001	5.800e+001
39234.0171000	7.212e+001	5.041e+001	1.796e-002	2.363e+001	5.572e+001
39234.0174400	7.565e+001	5.332e+001	1.584e-002	2.367e+001	5.892e+001
39234.0177900	7.532e+001	5.306e+001	1.466e-002	2.363e+001	5.863e+001
39234.0181400	7.156e+001	5.002e+001	1.339e-002	2.363e+001	5.528e+001
39234.0184900	6.332e+001	4.448e+001	6.852e-002	2.363e+001	4.916e+001
39234.0188300	8.183e+001	6.507e+001	1.466e-002	2.363e+001	7.159e+001
39234.0191800	8.215e+001	6.532e+001	1.693e-002	2.363e+001	7.187e+001
39234.0195300	8.215e+001	6.532e+001	1.584e-002	2.363e+001	7.187e+001
39234.0198700	8.248e+001	6.532e+001	1.339e-002	2.363e+001	7.187e+001
39234.0202200	8.215e+001	6.532e+001	1.693e-002	2.363e+001	7.187e+001
39234.0205700	8.215e+001	6.559e+001	1.466e-002	2.363e+001	7.215e+001
39234.0209200	8.215e+001	6.532e+001	1.693e-002	2.363e+001	7.187e+001
39234.0212600	8.215e+001	6.532e+001	1.584e-002	2.363e+001	7.187e+001
39234.0216100	8.119e+001	6.456e+001	1.693e-002	2.363e+001	7.103e+001
39234.0219600	8.183e+001	6.507e+001	1.339e-002	2.363e+001	7.159e+001
39234.0223100	8.215e+001	6.532e+001	1.197e-002	2.363e+001	7.187e+001
39234.0226500	8.183e+001	6.507e+001	1.466e-002	2.363e+001	7.159e+001
39234.0230000	8.215e+001	6.532e+001	1.693e-002	2.363e+001	7.187e+001
39234.0233500	8.215e+001	6.532e+001	1.466e-002	2.363e+001	7.187e+001
39234.0236900	8.248e+001	6.558e+001	1.339e-002	2.363e+001	7.215e+001
39234.0240400	8.280e+001	6.557e+001	1.584e-002	2.363e+001	7.215e+001
39234.0243900	8.280e+001	6.557e+001	1.466e-002	2.363e+001	7.215e+001
39234.0247400	8.277e+001	6.577e+001	1.693e-002	2.359e+001	7.237e+001
39234.0250800	8.277e+001	6.577e+001	1.693e-002	2.359e+001	7.237e+001
39234.0254300	8.242e+001	6.545e+001	1.796e-002	2.355e+001	7.201e+001
39234.0257800	6.250e+001	4.851e+001	1.893e-002	2.351e+001	5.342e+001
39234.0261200	2.827e+001	2.102e+001	1.893e-002	2.351e+001	2.318e+001
39234.0264700	7.088e+001	5.449e+001	2.074e-002	2.347e+001	6.002e+001
39234.0268200	8.014e+001	6.362e+001	1.986e-002	2.351e+001	7.000e+001
39234.0271700	6.176e+001	4.775e+001	1.986e-002	2.351e+001	5.258e+001
39234.0275100	5.984e+001	4.535e+001	2.074e-002	2.351e+001	4.997e+001
39234.0278600	8.304e+001	6.537e+001	2.074e-002	2.351e+001	7.194e+001
39234.0282100	8.304e+001	6.537e+001	1.986e-002	2.351e+001	7.194e+001
39234.0285600	5.844e+001	4.305e+001	1.110e-001	2.351e+001	4.749e+001
39234.0289000	1.646e+001	1.761e+001	1.638e-001	2.351e+001	1.920e+001
39234.0292500	1.257e+002	1.494e+002	1.986e-002	2.351e+001	1.625e+002
39234.0296000	1.779e+002	2.068e+002	1.893e-002	2.355e+001	2.251e+002
39234.0299400	1.780e+002	2.070e+002	1.584e-002	2.359e+001	2.253e+002
39234.0302900	1.739e+002	2.015e+002	1.693e-002	2.363e+001	2.194e+002
39234.0306400	1.361e+002	1.607e+002	1.466e-002	2.363e+001	1.748e+002
39234.0309900	1.787e+002	2.063e+002	1.584e-002	2.363e+001	2.246e+002
39234.0313300	1.795e+002	2.065e+002	1.584e-002	2.367e+001	2.248e+002
39234.0316800	1.795e+002	2.065e+002	1.466e-002	2.367e+001	2.248e+002
39234.0320300	1.795e+002	2.065e+002	1.466e-002	2.367e+001	2.248e+002
39234.0323700	1.788e+002	2.065e+002	1.466e-002	2.367e+001	2.248e+002
39234.0327200	1.788e+002	2.065e+002	1.466e-002	2.367e+001	2.248e+002
39234.0330700	1.788e+002	2.073e+002	1.693e-002	2.367e+001	2.256e+002
39234.0334200	1.795e+002	2.073e+002	1.584e-002	2.367e+001	2.256e+002
39234.0337600	1.787e+002	2.063e+002	1.339e-002	2.363e+001	2.246e+002
39234.0341100	1.795e+002	2.073e+002	1.466e-002	2.367e+001	2.256e+002
39234.0344600	1.795e+002	2.073e+002	1.584e-002	2.367e+001	2.256e+002
39234.0348100	1.787e+002	2.063e+002	1.584e-002	2.363e+001	2.246e+002
39234.0351500	1.787e+002	2.063e+002	1.466e-002	2.363e+001	2.246e+002
39234.0355000	1.787e+002	2.071e+002	1.197e-002	2.363e+001	2.255e+002
39234.0358500	1.787e+002	2.063e+002	1.584e-002	2.363e+001	2.246e+002
39234.0361900	1.830e+002	2.104e+002	1.693e-002	2.363e+001	2.290e+002
39234.0365400	1.845e+002	2.122e+002	1.466e-002	2.367e+001	2.310e+002
39234.0368900	1.837e+002	2.112e+002	1.693e-002	2.363e+001	2.299e+002
39234.0372400	1.837e+002	2.103e+002	1.584e-002	2.363e+001	2.290e+002
39234.0375800	1.837e+002	2.103e+002	1.693e-002	2.363e+001	2.290e+002
39234.0379300	1.845e+002	2.113e+002	1.584e-002	2.367e+001	2.301e+002
39234.0382800	1.845e+002	2.113e+002	1.796e-002	2.367e+001	2.301e+002
39234.0386200	1.838e+002	2.114e+002	1.339e-002	2.367e+001	2.301e+002
39234.0389700	1.838e+002	2.114e+002	1.584e-002	2.367e+001	2.301e+002
39234.0393200	1.838e+002	2.114e+002	1.584e-002	2.367e+001	2.301e+002
39234.0396700	1.837e+002	2.112e+002	1.584e-002	2.363e+001	2.299e+002
39234.0400100	1.845e+002	2.122e+002	1.693e-002	2.367e+001	2.310e+002
39234.0403600	1.678e+002	1.932e+002	4.233e-002	2.367e+001	2.103e+002
39234.0407100	1.760e+002	2.008e+002	1.584e-002	2.367e+001	2.187e+002
39234.0410600	1.760e+002	2.016e+002	1.339e-002	2.367e+001	2.195e+002
39234.0414000	1.767e+002	2.008e+002	1.339e-002	2.367e+001	2.187e+002
39234.0417500	1.767e+002	2.016e+002	1.466e-002	2.367e+001	2.195e+002
39234.0421000	1.759e+002	2.007e+002	1.339e-002	2.363e+001	2.185e+002
39234.0424400	1.767e+002	2.008e+002	1.339e-002	2.367e+001	2.187e+002
39234.0427900	1.759e+002	1.999e+002	1.893e-002	2.363e+001	2.177e+002
39234.0431400	1.759e+002	2.007e+002	1.584e-002	2.363e+001	2.185e+002
39234.0434900	1.767e+002	2.008e+002	1.693e-002	2.367e+001	2.187e+002
39234.0438300	1.767e+002	2.008e+002	1.584e-002	2.367e+001	2.187e+002
39234.0441800	1.767e+002	2.008e+002	1.693e-002	2.367e+001	2.187e+002
39234.0445300	1.760e+002	2.000e+002	1.693e-002	2.367e+001	2.178e+002
39234.0448700	1.760e+002	2.000e+002	1.796e-002	2.367e+001	2.178e+002
39234.0452200	1.760e+002	2.000e+002	1.796e-002	2.367e+001	2.178e+002
39234.0455700	1.760e+002	2.000e+002	1.339e-002	2.367e+001	2.178e+002
39234.0459200	1.760e+002	2.000e+002	1.584e-002	2.367e+001	2.178e+002
39234.0462600	1.760e+002	2.000e+002	1.466e-002	2.367e+001	2.178e+002
39234.0466100	1.760e+002	2.000e+002	1.339e-002	2.367e+001	2.178e+002
39234.0469600	1.760e+002	1.992e+002	1.466e-002	2.367e+001	2.170e+002
39234.0473100	1.760e+002	2.000e+002	1.466e-002	2.367e+001	2.178e+002
39234.0476500	1.767e+002	2.000e+002	1.339e-002	2.367e+001	2.178e+002
39234.0480000	1.767e+002	2.008e+002	1.466e-002	2.367e+001	2.187e+002
39234.0483500	1.759e+002	1.991e+002	1.339e-002	2.363e+001	2.168e+002
39234.0486900	1.759e+002	1.991e+002	1.584e-002	2.363e+001	2.168e+002
39234.0490400	1.759e+002	1.999e+002	1.796e-002	2.363e+001	2.177e+002
39234.0493900	1.767e+002	2.008e+002	1.466e-002	2.367e+001	2.187e+002
39234.0497400	1.767e+002	2.008e+002	1.584e-002	2.367e+001	2.187e+002
39234.0500800	1.759e+002	1.991e+002	1.466e-002	2.363e+001	2.168e+002
39234.0504300	1.767e+002	2.008e+002	1.584e-002	2.367e+001	2.187e+002
39234.0507800	1.759e+002	1.991e+002	1.584e-002	2.363e+001	2.168e+002
39234.0511200	1.759e+002	1.991e+002	1.466e-002	2.363e+001	2.168e+002
39234.0514700	1.767e+002	2.000e+002	1.466e-002	2.367e+001	2.178e+002
39234.0518200	1.767e+002	2.008e+002	1.584e-002	2.367e+001	2.187e+002
39234.0521700	9.661e+001	1.043e+002	1.845e-001	2.367e+001	1.137e+002
39234.0525100	1.022e+002	1.207e+002	1.400e-001	2.379e+001	1.313e+002
39234.0528600	9.126e+001	8.839e+001	1.574e-001	2.391e+001	9.666e+001
39234.0532100	9.067e+001	8.123e+001	4.399e-002	2.407e+001	8.903e+001
39234.0535600	7.663e+001	7.112e+001	6.135e-002	2.419e+001	7.787e+001
39234.0539000	7.344e+001	6.772e+001	6.076e-002	2.427e+001	7.416e+001
39234.0542500	1.090e+002	9.876e+001	1.218e-001	2.439e+001	1.082e+002
39234.0546000	1.139e+002	1.001e+002	1.253e-001	2.451e+001	1.098e+002
39234.0549400	1.144e+002	1.109e+002	9.294e-002	2.459e+001	1.213e+002
39234.0552900	1.123e+002	1.013e+002	1.039e-001	2.467e+001	1.111e+002
39234.0556400	1.155e+002	1.019e+002	1.276e-001	2.475e+001	1.117e+002
39234.0559900	1.133e+002	9.928e+001	9.672e-002	2.483e+001	1.089e+002
39234.0563300	1.120e+002	1.108e+002	1.214e-001	2.487e+001	1.211e+002
39234.0566800	9.656e+001	1.119e+002	1.267e-001	2.495e+001	1.218e+002
39234.0570300	1.237e+002	1.149e+002	8.488e-002	2.499e+001	1.257e+002
39234.0573700	8.422e+001	8.006e+001	1.625e-001	2.503e+001	8.760e+001
39234.0577200	2.117e+000	1.311e+000	1.244e-001	2.495e+001	1.456e+000
39234.0580700	4.274e+001	4.070e+001	1.520e-001	2.479e+001	4.453e+001
39234.0584200	1.731e+002	1.896e+002	1.092e-001	2.471e+001	2.067e+002
39234.0587600	1.779e+002	1.916e+002	2.057e-001	2.467e+001	2.089e+002
39234.0591100	7.318e+001	7.361e+001	5.742e-002	2.471e+001	8.041e+001
39234.0594600	8.083e+001	8.106e+001	1.136e-001	2.483e+001	8.855e+001
39234.0598100	1.462e+001	1.382e+001	1.118e-001	2.483e+001	1.512e+001
39234.0601500	8.042e+001	7.490e+001	1.109e-001	2.471e+001	8.199e+001
39234.0605000	7.258e+001	6.113e+001	5.711e-002	2.467e+001	6.713e+001
39234.0608500	7.150e+001	7.197e+001	8.121e-002	2.475e+001	7.862e+001
39234.0611900	5.606e+001	5.076e+001	5.219e-002	2.479e+001	5.562e+001
39234.0615400	5.432e+001	5.685e+001	6.640e-002	2.479e+001	6.204e+001
39234.0618900	5.653e+001	5.940e+001	3.642e-002	2.483e+001	6.482e+001
39234.0622400	5.475e+001	5.892e+001	4.060e-002	2.479e+001	6.425e+001
39234.0625800	5.475e+001	6.108e+001	3.833e-002	2.479e+001	6.655e+001
39234.0629300	5.327e+001	5.920e+001	3.642e-002	2.479e+001	6.450e+001
39234.0632800	5.413e+001	5.923e+001	2.677e-002	2.483e+001	6.457e+001
39234.0636200	5.586e+001	5.778e+001	7.942e-002	2.483e+001	6.307e+001
39234.0639700	5.310e+001	5.198e+001	3.880e-002	2.487e+001	5.683e+001
39234.0643200	6.571e+001	6.612e+001	8.143e-002	2.495e+001	7.223e+001
39234.0646700	8.620e+001	1.008e+002	9.783e-002	2.499e+001	1.097e+002
39234.0650100	7.141e+001	8.042e+001	1.237e-001	2.503e+001	8.760e+001
39234.0653600	1.022e+002	1.173e+002	1.021e-001	2.515e+001	1.277e+002
39234.0657100	8.043e+001	8.538e+001	1.505e-001	2.515e+001	9.313e+001
39234.0660600	8.863e+001	9.574e+001	1.385e-001	2.503e+001	1.044e+002
39234.0664000	1.112e+002	1.356e+002	1.139e-001	2.495e+001	1.474e+002
39234.0667500	1.267e+002	1.538e+002	1.073e-001	2.503e+001	1.673e+002
39234.0671000	1.172e+002	1.307e+002	8.274e-002	2.515e+001	1.424e+002
39234.0674400	1.341e+002	1.633e+002	1.126e-001	2.527e+001	1.776e+002
39234.0677900	1.290e+002	1.536e+002	9.371e-002	2.535e+001	1.671e+002
39234.0681400	1.261e+002	1.546e+002	9.801e-002	2.543e+001	1.681e+002
39234.0684900	1.292e+002	1.585e+002	1.365e-001	2.551e+001	1.723e+002
39234.0688300	1.118e+002	1.300e+002	1.755e-001	2.555e+001	1.414e+002
39234.0691800	1.437e+002	1.815e+002	1.314e-001	2.563e+001	1.972e+002
39234.0695300	1.422e+002	1.755e+002	1.344e-001	2.571e+001	1.907e+002
39234.0698700	1.416e+002	9.949e+001	5.185e-002	2.575e+001	2.024e+002
39234.0702200	1.462e+002	1.003e+002	5.774e-002	2.583e+001	2.051e+002
39234.0705700	1.492e+002	1.832e+002	1.429e-001	2.591e+001	1.991e+002
39234.0709200	1.333e+002	1.627e+002	9.352e-002	2.599e+001	1.768e+002
39234.0712600	1.408e+002	1.704e+002	1.874e-001	2.599e+001	1.853e+002
39234.0716100	1.328e+002	1.596e+002	1.707e-001	2.603e+001	1.736e+002
39234.0719600	1.355e+002	1.648e+002	7.920e-002	2.607e+001	1.792e+002
39234.0723100	1.274e+002	1.541e+002	9.020e-002	2.619e+001	1.676e+002
39234.0726500	1.422e+002	1.762e+002	7.965e-002	2.627e+001	1.915e+002
39234.0730000	1.183e+002	1.445e+002	1.197e-001	2.627e+001	1.571e+002
39234.0733500	1.198e+002	1.494e+002	6.904e-002	2.635e+001	1.624e+002
39234.0736900	1.316e+002	1.615e+002	9.485e-002	2.639e+001	1.756e+002
39234.0740400	1.306e+002	1.617e+002	8.252e-002	2.643e+001	1.758e+002
39234.0743900	2.414e+001	1.944e+001	1.613e-001	2.643e+001	2.138e+001
39234.0747400	2.866e-001	1.808e-001	8.593e-002	2.603e+001	2.007e-001
39234.0750800	5.566e+001	5.505e+001	1.485e-001	2.559e+001	6.016e+001
39234.0754300	1.152e+002	1.038e+002	8.593e-002	2.539e+001	1.138e+002
39234.0757800	1.151e+002	1.049e+002	1.218e-001	2.531e+001	1.149e+002
39234.0761200	1.197e+002	1.140e+002	1.343e-001	2.531e+001	1.247e+002
39234.0764700	1.207e+002	1.097e+002	1.473e-001	2.539e+001	1.202e+002
39234.0768200	3.269e+001	2.667e+001	1.284e-001	2.535e+001	2.932e+001
39234.0771700	3.567e+000	2.724e+000	1.178e-001	2.507e+001	3.001e+000
39234.0775100	1.156e+002	1.378e+002	1.492e-001	2.483e+001	1.499e+002
39234.0778600	1.546e+002	1.908e+002	7.109e-002	2.487e+001	2.074e+002
39234.0782100	1.500e+002	1.870e+002	7.159e-002	2.503e+001	2.033e+002
39234.0785600	1.473e+002	1.812e+002	1.505e-001	2.519e+001	1.969e+002
39234.0789000	1.462e+002	1.860e+002	1.064e-001	2.531e+001	2.021e+002
39234.0792500	1.511e+002	1.903e+002	1.073e-001	2.547e+001	2.067e+002
39234.0796000	1.323e+002	1.600e+002	1.076e-001	2.559e+001	1.740e+002
