Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39165.3337200	1.284e+002	1.143e+002	1.037e-002	1.485e+001	1.253e+002
39165.3340600	1.289e+002	1.144e+002	1.037e-002	1.489e+001	1.254e+002
39165.3344100	1.289e+002	1.148e+002	1.197e-002	1.485e+001	1.258e+002
39165.3347600	1.274e+002	1.143e+002	1.197e-002	1.485e+001	1.253e+002
39165.3351100	1.299e+002	1.166e+002	1.197e-002	1.485e+001	1.278e+002
39165.3354500	1.310e+002	1.172e+002	1.197e-002	1.489e+001	1.285e+002
39165.3358000	1.310e+002	1.182e+002	1.197e-002	1.489e+001	1.295e+002
39165.3361500	1.315e+002	1.186e+002	1.197e-002	1.489e+001	1.300e+002
39165.3365000	1.315e+002	1.186e+002	1.466e-002	1.489e+001	1.300e+002
39165.3368400	1.320e+002	1.201e+002	1.339e-002	1.489e+001	1.315e+002
39165.3371900	1.326e+002	1.207e+002	1.197e-002	1.493e+001	1.322e+002
39165.3375400	1.331e+002	1.202e+002	1.197e-002	1.493e+001	1.317e+002
39165.3378800	1.337e+002	1.214e+002	1.466e-002	1.501e+001	1.330e+002
39165.3382300	1.343e+002	1.228e+002	1.584e-002	1.501e+001	1.345e+002
39165.3385800	1.349e+002	1.246e+002	1.986e-002	1.509e+001	1.364e+002
39165.3389300	1.355e+002	1.253e+002	1.796e-002	1.517e+001	1.372e+002
39165.3392700	1.361e+002	1.259e+002	1.466e-002	1.521e+001	1.379e+002
39165.3396200	1.589e+002	1.444e+002	1.197e-002	1.533e+001	1.582e+002
39165.3399700	1.714e+002	1.593e+002	1.339e-002	1.545e+001	1.744e+002
39165.3403100	1.715e+002	1.603e+002	1.466e-002	1.557e+001	1.755e+002
39165.3406600	1.723e+002	1.600e+002	1.584e-002	1.565e+001	1.751e+002
39165.3410100	1.724e+002	1.602e+002	1.584e-002	1.573e+001	1.754e+002
39165.3413600	1.719e+002	1.619e+002	1.693e-002	1.581e+001	1.771e+002
39165.3417000	1.727e+002	1.609e+002	1.986e-002	1.593e+001	1.762e+002
39165.3420500	1.728e+002	1.619e+002	1.584e-002	1.601e+001	1.772e+002
39165.3424000	1.737e+002	1.638e+002	1.893e-002	1.617e+001	1.792e+002
39165.3427500	1.738e+002	1.640e+002	1.986e-002	1.625e+001	1.795e+002
39165.3430900	1.739e+002	1.637e+002	1.466e-002	1.633e+001	1.791e+002
39165.3434400	1.740e+002	1.646e+002	1.339e-002	1.641e+001	1.801e+002
39165.3437900	1.741e+002	1.642e+002	1.197e-002	1.649e+001	1.797e+002
39165.3441300	1.749e+002	1.652e+002	1.197e-002	1.657e+001	1.808e+002
39165.3444800	1.750e+002	1.655e+002	1.584e-002	1.665e+001	1.811e+002
39165.3448300	1.751e+002	1.664e+002	1.893e-002	1.673e+001	1.821e+002
39165.3451800	1.751e+002	1.666e+002	1.693e-002	1.677e+001	1.823e+002
39165.3455200	1.752e+002	1.667e+002	1.796e-002	1.681e+001	1.824e+002
39165.3458700	1.746e+002	1.682e+002	1.339e-002	1.685e+001	1.840e+002
39165.3462200	1.753e+002	1.699e+002	1.466e-002	1.693e+001	1.858e+002
39165.3465600	1.740e+002	1.686e+002	1.339e-002	1.693e+001	1.843e+002
39165.3469100	1.748e+002	1.690e+002	1.466e-002	1.705e+001	1.848e+002
39165.3472600	1.749e+002	1.706e+002	1.339e-002	1.713e+001	1.866e+002
39165.3476100	1.750e+002	1.702e+002	1.339e-002	1.721e+001	1.862e+002
39165.3479500	1.744e+002	1.704e+002	1.197e-002	1.725e+001	1.863e+002
39165.3483000	1.671e+002	1.635e+002	1.197e-002	1.733e+001	1.787e+002
39165.3486500	1.746e+002	1.724e+002	1.197e-002	1.741e+001	1.884e+002
39165.3490000	1.740e+002	1.712e+002	1.339e-002	1.745e+001	1.871e+002
39165.3493400	1.740e+002	1.713e+002	1.693e-002	1.749e+001	1.873e+002
39165.3496900	1.741e+002	1.722e+002	1.584e-002	1.753e+001	1.882e+002
39165.3500400	1.749e+002	1.717e+002	1.339e-002	1.761e+001	1.877e+002
39165.3503800	1.742e+002	1.726e+002	1.339e-002	1.765e+001	1.886e+002
39165.3507300	1.736e+002	1.721e+002	1.339e-002	1.769e+001	1.881e+002
39165.3510800	1.717e+002	1.656e+002	7.987e-002	1.777e+001	1.811e+002
39165.3514300	1.195e+002	1.517e+002	9.504e-002	1.793e+001	1.648e+002
39165.3517700	2.442e+002	1.747e+002	1.312e-001	1.849e+001	3.538e+002
39165.3521200	1.244e+002	1.223e+002	1.353e-001	1.941e+001	2.325e+002
39165.3524700	1.585e+002	1.419e+002	8.880e-002	2.009e+001	2.744e+002
39165.3528100	1.669e+002	1.431e+002	7.283e-002	2.073e+001	2.789e+002
39165.3531600	1.978e+002	1.822e+002	7.806e-002	2.129e+001	3.504e+002
39165.3535100	1.824e+002	1.583e+002	9.079e-002	2.181e+001	3.078e+002
39165.3538600	1.636e+002	1.456e+002	7.159e-002	2.225e+001	2.818e+002
39165.3542000	1.496e+002	1.331e+002	6.046e-002	2.261e+001	2.577e+002
39165.3545500	1.353e+002	1.093e+002	3.926e-002	2.297e+001	2.156e+002
39165.3549000	1.280e+002	1.075e+002	4.148e-002	2.329e+001	2.105e+002
39165.3552500	1.964e+002	1.597e+002	3.971e-002	2.357e+001	3.147e+002
39165.3555900	2.241e+002	1.720e+002	3.279e-002	2.385e+001	3.430e+002
39165.3559400	1.791e+002	1.398e+002	4.104e-002	2.409e+001	2.778e+002
39165.3562900	1.713e+002	1.407e+002	6.105e-002	2.429e+001	2.768e+002
39165.3566300	1.991e+002	1.603e+002	7.134e-002	2.449e+001	3.166e+002
39165.3569800	1.731e+002	1.397e+002	6.392e-002	2.469e+001	2.757e+002
39165.3573300	1.625e+002	1.315e+002	5.080e-002	2.489e+001	2.593e+002
39165.3576800	1.536e+002	1.174e+002	5.321e-002	2.501e+001	2.344e+002
39165.3580200	1.697e+002	1.346e+002	4.016e-002	2.513e+001	2.666e+002
39165.3583700	1.868e+002	1.414e+002	6.531e-002	2.521e+001	2.828e+002
39165.3587200	2.281e+002	1.802e+002	5.009e-002	2.541e+001	3.572e+002
39165.3590600	2.005e+002	1.533e+002	5.045e-002	2.553e+001	3.060e+002
39165.3594100	1.469e+002	1.213e+002	5.388e-002	2.565e+001	2.383e+002
39165.3597600	1.301e+002	1.035e+002	5.185e-002	2.573e+001	2.048e+002
39165.3601100	1.587e+002	1.284e+002	4.016e-002	2.585e+001	2.534e+002
39165.3604500	2.011e+002	1.510e+002	3.971e-002	2.593e+001	3.025e+002
39165.3608000	2.027e+002	1.546e+002	3.439e-002	2.601e+001	3.088e+002
39165.3611500	1.991e+002	1.506e+002	3.833e-002	2.613e+001	3.013e+002
39165.3615000	2.077e+002	1.605e+002	4.599e-002	2.621e+001	3.196e+002
39165.3618400	1.528e+002	1.220e+002	5.185e-002	2.629e+001	2.413e+002
39165.3621900	1.159e+002	9.751e+001	4.148e-002	2.637e+001	1.908e+002
39165.3625400	1.350e+002	1.145e+002	3.786e-002	2.649e+001	2.236e+002
39165.3628800	1.215e+002	9.730e+001	4.148e-002	2.657e+001	1.923e+002
39165.3632300	1.045e+002	8.099e+001	3.168e-002	2.669e+001	1.612e+002
39165.3635800	1.806e+002	1.463e+002	4.480e-002	2.685e+001	2.885e+002
39165.3639300	1.883e+002	1.470e+002	4.060e-002	2.689e+001	2.921e+002
39165.3642700	1.905e+002	1.502e+002	3.333e-002	2.693e+001	2.979e+002
39165.3646200	1.877e+002	1.684e+002	9.333e-002	2.697e+001	3.254e+002
39165.3649700	1.626e+002	1.371e+002	4.191e-002	2.701e+001	2.682e+002
39165.3653100	1.614e+002	1.336e+002	4.016e-002	2.705e+001	2.623e+002
39165.3656600	1.639e+002	1.384e+002	3.592e-002	2.709e+001	2.707e+002
39165.3660100	1.658e+002	1.407e+002	4.148e-002	2.709e+001	2.748e+002
39165.3663600	1.665e+002	1.433e+002	3.739e-002	2.713e+001	2.792e+002
39165.3667000	1.716e+002	1.493e+002	6.420e-002	2.717e+001	2.903e+002
39165.3670500	1.666e+002	1.416e+002	4.973e-002	2.721e+001	2.765e+002
39165.3674000	1.744e+002	1.504e+002	5.421e-002	2.725e+001	2.930e+002
39165.3677500	1.784e+002	1.561e+002	6.105e-002	2.725e+001	3.032e+002
39165.3680900	1.660e+002	1.406e+002	4.317e-002	2.729e+001	2.748e+002
39165.3684400	1.575e+002	1.360e+002	5.680e-002	2.733e+001	2.648e+002
39165.3687900	1.611e+002	1.384e+002	3.691e-002	2.729e+001	2.696e+002
39165.3691300	1.563e+002	1.311e+002	3.880e-002	2.729e+001	2.566e+002
39165.3694800	1.617e+002	1.457e+002	5.616e-002	2.733e+001	2.814e+002
