Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39368.2781600	-8.949e-003	6.849e-003	1.339e-002	1.941e+001	7.802e-003
39368.2785100	-8.964e-003	6.646e-003	1.339e-002	1.937e+001	7.478e-003
39368.2788600	-8.883e-003	1.531e-002	1.680e-001	1.937e+001	2.109e-002
39368.2792000	3.968e-002	5.190e-001	1.273e-001	1.981e+001	8.265e-001
39368.2795500	2.723e+000	1.325e+000	1.063e-001	2.013e+001	1.489e+000
39368.2799000	2.127e+001	1.403e+001	1.091e-001	2.037e+001	1.554e+001
39368.2802500	1.121e+001	6.956e+000	1.427e-001	2.065e+001	7.726e+000
39368.2805900	1.986e+001	1.283e+001	1.225e-001	2.089e+001	1.423e+001
39368.2809400	1.078e+001	5.982e+000	1.343e-001	2.105e+001	6.678e+000
39368.2812900	4.967e-001	1.892e-001	1.184e-001	2.125e+001	2.159e-001
39368.2816300	3.894e+000	2.097e+000	1.270e-001	2.137e+001	2.344e+000
39368.2819800	8.312e+000	2.065e+000	1.393e-001	2.173e+001	2.441e+000
39368.2823300	9.495e+000	4.383e+000	1.262e-001	2.233e+001	4.941e+000
39368.2826800	8.950e+000	4.179e+000	1.369e-001	2.329e+001	4.707e+000
39368.2830200	1.177e+001	6.521e+000	1.372e-001	2.393e+001	7.281e+000
39368.2833700	1.318e+001	7.018e+000	1.396e-001	2.389e+001	7.850e+000
39368.2837200	1.048e+001	5.254e+000	1.393e-001	2.381e+001	5.896e+000
39368.2840600	9.616e+000	4.636e+000	1.359e-001	2.369e+001	5.213e+000
39368.2844100	8.135e+000	2.983e+000	1.199e-001	2.369e+001	3.412e+000
39368.2847600	8.435e+000	3.762e+000	1.042e-001	2.401e+001	4.248e+000
39368.2851100	7.350e+000	3.307e+000	5.927e-002	2.417e+001	3.733e+000
39368.2854500	6.964e+000	3.001e+000	5.552e-002	2.433e+001	3.396e+000
39368.2858000	6.664e+000	2.933e+000	4.016e-002	2.441e+001	3.315e+000
39368.2861500	7.827e+000	3.588e+000	7.234e-002	2.449e+001	4.046e+000
39368.2865000	7.054e+000	3.439e+000	6.046e-002	2.461e+001	3.865e+000
39368.2868400	9.416e+000	4.860e+000	1.214e-001	2.465e+001	5.445e+000
39368.2871900	1.269e+001	9.296e+000	1.291e-001	2.461e+001	1.026e+001
39368.2875400	1.289e+001	9.490e+000	1.243e-001	2.441e+001	1.047e+001
39368.2878800	1.262e+001	9.337e+000	1.393e-001	2.425e+001	1.030e+001
39368.2882300	1.035e+001	7.259e+000	1.466e-001	2.421e+001	8.023e+000
39368.2885800	1.072e+001	7.153e+000	1.153e-001	2.405e+001	7.921e+000
39368.2889300	9.814e+000	7.342e+000	1.670e-001	2.377e+001	8.095e+000
39368.2892700	1.207e+001	9.469e+000	1.503e-001	2.365e+001	1.042e+001
39368.2896200	1.084e+001	8.057e+000	1.308e-001	2.357e+001	8.886e+000
39368.2899700	9.827e+000	8.237e+000	9.099e-002	2.341e+001	9.047e+000
39368.2903100	9.282e+000	7.155e+000	1.109e-001	2.341e+001	7.880e+000
39368.2906600	1.387e+001	7.297e+000	1.329e-001	2.333e+001	8.167e+000
39368.2910100	2.719e+001	1.985e+001	1.221e-001	2.329e+001	2.191e+001
39368.2913600	1.478e+001	1.274e+001	1.099e-001	2.325e+001	1.398e+001
39368.2917000	3.972e+001	3.056e+001	1.068e-001	2.321e+001	3.366e+001
39368.2920500	4.897e+001	3.484e+001	1.078e-001	2.321e+001	3.848e+001
39368.2924000	4.734e+001	3.465e+001	6.420e-002	2.325e+001	3.823e+001
39368.2927500	4.775e+001	3.527e+001	8.165e-002	2.333e+001	3.890e+001
39368.2930900	8.550e+001	6.338e+001	8.360e-002	2.341e+001	6.990e+001
39368.2934400	8.781e+001	6.183e+001	4.016e-002	2.341e+001	6.832e+001
39368.2937900	5.546e+001	4.155e+001	1.002e-001	2.345e+001	4.581e+001
39368.2941300	5.085e+001	3.886e+001	9.964e-002	2.349e+001	4.281e+001
39368.2944800	5.307e+001	4.061e+001	9.485e-002	2.357e+001	4.474e+001
39368.2948300	6.493e+001	4.727e+001	7.643e-002	2.361e+001	5.217e+001
39368.2951800	6.260e+001	4.711e+001	8.424e-002	2.373e+001	5.194e+001
39368.2955200	7.864e+001	6.143e+001	1.193e-001	2.377e+001	6.763e+001
39368.2958700	1.026e+002	7.990e+001	7.965e-002	2.377e+001	8.797e+001
39368.2962200	1.023e+002	7.697e+001	5.866e-002	2.385e+001	8.484e+001
39368.2965600	6.489e+001	4.916e+001	1.179e-001	2.389e+001	5.417e+001
39368.2969100	5.350e+001	4.282e+001	1.040e-001	2.393e+001	4.710e+001
39368.2972600	5.413e+001	4.353e+001	1.190e-001	2.397e+001	4.787e+001
39368.2976100	5.232e+001	4.027e+001	1.153e-001	2.397e+001	4.436e+001
39368.2979500	6.138e+001	4.657e+001	1.130e-001	2.401e+001	5.132e+001
39368.2983000	6.500e+001	4.936e+001	1.302e-001	2.405e+001	5.439e+001
39368.2986500	9.949e+001	7.820e+001	8.551e-002	2.413e+001	8.607e+001
39368.2990000	7.096e+001	5.458e+001	5.487e-002	2.409e+001	6.012e+001
39368.2993400	5.890e+001	4.838e+001	7.874e-002	2.405e+001	5.317e+001
39368.2996900	6.572e+001	5.047e+001	1.225e-001	2.401e+001	5.560e+001
39368.3000400	7.562e+001	5.720e+001	8.121e-002	2.401e+001	6.304e+001
39368.3003800	5.779e+001	4.617e+001	9.523e-002	2.405e+001	5.079e+001
39368.3007300	4.638e+001	3.716e+001	7.737e-002	2.405e+001	4.088e+001
39368.3010800	4.781e+001	3.771e+001	6.392e-002	2.405e+001	4.151e+001
39368.3014300	5.418e+001	4.226e+001	9.466e-002	2.405e+001	4.653e+001
39368.3017700	4.015e+001	4.038e+001	1.370e-001	2.405e+001	4.411e+001
