Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39054.3754600	2.808e+001	2.259e+001	1.109e-001	1.919e+001	4.461e+001
39054.3758100	3.142e+000	3.796e+000	1.166e-001	1.935e+001	4.128e+000
39054.3761600	8.868e+000	7.368e+000	1.308e-001	1.967e+001	1.446e+001
39054.3765100	6.937e+000	6.459e+000	1.184e-001	2.003e+001	1.240e+001
39054.3768500	9.528e+000	8.267e+000	1.525e-001	2.035e+001	1.608e+001
39054.3772000	1.066e+001	1.035e+001	1.481e-001	2.063e+001	1.971e+001
39054.3775500	2.106e+001	2.500e+001	1.016e-001	2.087e+001	4.608e+001
39054.3779000	2.777e+002	4.679e+002	1.092e-001	2.003e+001	8.244e+002
39054.3782400	2.539e+001	3.559e+001	1.551e-001	1.771e+001	6.411e+001
39054.3785900	2.244e+001	3.245e+001	1.239e-001	1.779e+001	5.821e+001
39054.3789400	1.629e+001	2.225e+001	1.395e-001	1.839e+001	4.022e+001
39054.3792800	1.325e+001	1.161e+001	1.234e-001	1.903e+001	2.253e+001
39054.3796300	1.493e+001	1.466e+001	1.115e-001	1.947e+001	2.787e+001
39054.3799800	2.265e+001	2.525e+001	1.106e-001	1.983e+001	4.700e+001
39054.3803300	6.066e+001	6.885e+001	5.552e-002	2.015e+001	1.278e+002
39054.3806700	4.301e+001	4.314e+001	1.250e-001	2.039e+001	8.172e+001
39054.3810200	5.744e+001	5.635e+001	2.240e-002	2.063e+001	1.072e+002
39054.3813700	5.621e+001	5.508e+001	3.642e-002	2.083e+001	1.048e+002
39054.3817100	5.592e+001	5.474e+001	3.491e-002	2.107e+001	1.041e+002
39054.3820600	3.650e+001	3.373e+001	1.518e-001	2.127e+001	6.482e+001
39054.3824100	1.855e+001	1.984e+001	1.225e-001	2.143e+001	3.717e+001
39054.3827600	2.256e+001	2.338e+001	1.303e-001	2.151e+001	4.403e+001
39054.3831000	3.582e+002	5.617e+002	1.037e-001	2.075e+001	9.978e+002
39054.3834500	3.882e+002	6.393e+002	1.209e-001	1.839e+001	1.129e+003
39054.3838000	3.021e+003	5.538e+003	1.197e-001	1.831e+001	9.670e+003
39054.3841500	7.563e+002	1.102e+003	6.773e-002	1.911e+001	1.976e+003
39054.3844900	1.469e+003	2.309e+003	9.275e-002	2.031e+001	4.100e+003
39054.3848400	2.066e+003	3.651e+003	7.573e-002	2.119e+001	6.400e+003
39054.3851900	6.469e+002	1.045e+003	6.558e-002	2.175e+001	1.850e+003
39054.3855300	6.155e+002	9.348e+002	6.586e-002	2.235e+001	1.667e+003
39054.3858800	1.067e+003	1.659e+003	8.360e-002	2.311e+001	2.950e+003
39054.3862300	1.048e+003	1.510e+003	6.193e-002	2.439e+001	2.710e+003
39054.3865800	9.254e+002	1.307e+003	5.552e-002	2.507e+001	2.352e+003
39054.3869200	8.334e+002	1.320e+003	1.096e-001	2.563e+001	2.342e+003
39054.3872700	3.171e+002	4.000e+002	1.196e-001	2.403e+001	7.309e+002
39054.3876200	3.476e+001	2.779e+001	8.880e-002	2.211e+001	5.494e+001
39054.3879600	7.437e+001	7.312e+001	1.061e-001	2.215e+001	1.390e+002
39054.3883100	6.483e+001	5.690e+001	8.252e-002	2.227e+001	1.104e+002
39054.3886600	5.544e+001	4.533e+001	1.335e-001	2.243e+001	8.922e+001
39054.3890100	1.017e+002	8.378e+001	1.253e-001	2.263e+001	1.646e+002
39054.3893500	8.400e+001	7.756e+001	9.819e-002	2.287e+001	1.491e+002
39054.3897000	8.252e+001	7.573e+001	1.076e-001	2.307e+001	1.457e+002
39054.3900500	9.157e+001	8.523e+001	7.714e-002	2.323e+001	1.636e+002
39054.3904000	9.729e+001	9.108e+001	5.185e-002	2.339e+001	1.746e+002
39054.3907400	8.526e+001	7.918e+001	8.530e-002	2.359e+001	1.521e+002
39054.3910900	6.534e+001	5.951e+001	8.010e-002	2.375e+001	1.147e+002
39054.3914400	8.164e+001	7.249e+001	1.112e-001	2.399e+001	1.404e+002
