Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39508.2712200	2.729e+000	8.325e-001	2.238e-001	1.903e+001	9.659e-001
39508.2715600	3.404e+001	3.153e+001	1.584e-002	1.943e+001	3.453e+001
39508.2719100	3.239e+001	3.169e+001	7.643e-002	1.955e+001	3.464e+001
39508.2722600	2.344e+001	2.560e+001	1.994e-001	1.979e+001	2.790e+001
39508.2726100	1.239e+001	1.301e+001	1.156e-001	2.023e+001	1.420e+001
39508.2729500	1.186e+001	1.254e+001	9.709e-002	2.071e+001	1.368e+001
39508.2733000	6.815e+000	4.012e+000	1.102e-001	2.107e+001	4.467e+000
39508.2736500	9.371e+000	4.598e+000	8.738e-002	2.135e+001	5.165e+000
39508.2740000	3.569e+000	1.285e+000	1.023e-001	2.163e+001	1.471e+000
39508.2743400	4.007e+000	4.893e+000	1.156e-001	2.175e+001	5.319e+000
39508.2746900	2.967e+000	2.531e+000	1.182e-001	2.179e+001	2.778e+000
39508.2750400	2.371e+000	2.086e+000	1.079e-001	2.191e+001	4.047e+000
39508.2753800	3.370e+000	3.906e+000	1.208e-001	2.207e+001	4.252e+000
39508.2757300	5.128e+000	5.640e+000	1.383e-001	2.215e+001	6.147e+000
39508.2760800	2.038e+000	9.482e-001	1.209e-001	2.231e+001	1.068e+000
39508.2764300	1.486e+000	7.400e-001	8.593e-002	2.251e+001	8.306e-001
39508.2767700	2.243e+000	1.070e+000	8.252e-002	2.275e+001	1.204e+000
39508.2771200	5.225e+000	5.442e+000	1.325e-001	2.291e+001	5.940e+000
39508.2774700	6.944e+000	6.174e+000	1.224e-001	2.291e+001	6.769e+000
39508.2778100	5.492e+000	1.667e+000	1.178e-001	2.287e+001	1.935e+000
39508.2781600	2.902e+000	1.002e+000	1.068e-001	2.275e+001	1.151e+000
39508.2785100	1.594e+000	1.108e+000	6.930e-002	2.267e+001	1.225e+000
39508.2788600	5.789e+001	4.119e+001	1.099e-001	2.279e+001	4.550e+001
39508.2792000	8.017e+001	5.540e+001	8.274e-002	2.303e+001	6.126e+001
39508.2795500	2.862e+000	2.226e+000	9.139e-002	2.319e+001	2.451e+000
39508.2799000	2.503e+000	7.824e-001	7.987e-002	2.331e+001	9.059e-001
39508.2802500	2.419e+000	1.230e+000	1.115e-001	2.351e+001	1.379e+000
39508.2805900	1.820e+000	1.124e+000	8.339e-002	2.367e+001	1.249e+000
39508.2809400	3.040e+000	2.544e+000	9.653e-002	2.383e+001	2.794e+000
39508.2812900	2.340e+000	1.636e+000	7.429e-002	2.395e+001	1.808e+000
39508.2816300	2.905e+000	2.560e+000	8.738e-002	2.407e+001	2.807e+000
39508.2819800	3.073e+000	2.874e+000	1.049e-001	2.415e+001	3.146e+000
39508.2823300	3.202e+000	3.167e+000	9.691e-002	2.427e+001	3.462e+000
39508.2826800	2.749e+000	2.420e+000	8.010e-002	2.439e+001	2.654e+000
39508.2830200	3.139e+000	2.696e+000	9.616e-002	2.443e+001	2.959e+000
39508.2833700	1.169e+001	1.052e+001	1.185e-001	2.447e+001	2.032e+001
39508.2837200	7.937e+000	3.248e+000	1.033e-001	2.427e+001	3.688e+000
39508.2840600	1.909e+001	2.064e+001	1.110e-001	2.387e+001	3.862e+001
39508.2844100	1.881e+001	2.336e+001	1.230e-001	2.135e+001	4.279e+001
39508.2847600	8.311e+000	6.289e+000	1.270e-001	1.903e+001	6.931e+000
39508.2851100	4.310e+000	2.839e+000	8.231e-002	1.955e+001	3.146e+000
39508.2854500	1.365e+001	1.236e+001	1.112e-001	2.015e+001	2.385e+001
39508.2858000	8.532e+000	1.340e+001	9.801e-002	1.939e+001	2.381e+001
39508.2861500	1.072e+001	1.702e+001	1.081e-001	1.891e+001	3.020e+001
39508.2865000	1.021e+001	1.558e+001	9.982e-002	1.863e+001	2.777e+001
39508.2868400	9.591e+000	1.485e+001	8.274e-002	1.843e+001	2.643e+001
39508.2871900	1.134e+001	1.663e+001	5.454e-002	1.827e+001	2.978e+001
39508.2875400	1.123e+001	1.653e+001	4.637e-002	1.819e+001	2.959e+001
39508.2878800	1.221e+001	1.891e+001	6.613e-002	1.819e+001	3.364e+001
39508.2882300	1.245e+001	1.810e+001	5.321e-002	1.819e+001	3.245e+001
39508.2885800	1.323e+001	1.989e+001	3.880e-002	1.827e+001	3.551e+001
39508.2889300	1.178e+001	1.724e+001	6.076e-002	1.843e+001	3.088e+001
39508.2892700	1.839e+001	2.614e+001	8.274e-002	1.859e+001	4.700e+001
39508.2896200	1.724e+001	2.376e+001	7.874e-002	1.875e+001	4.289e+001
39508.2899700	1.860e+001	2.021e+001	9.178e-002	1.907e+001	3.777e+001
39508.2903100	2.282e+001	2.224e+001	6.826e-002	1.931e+001	4.234e+001
