Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39136.0424900	5.817e+001	5.074e+001	2.319e-002	2.493e+001	5.565e+001
39136.0428400	5.771e+001	5.116e+001	1.693e-002	2.493e+001	5.609e+001
39136.0431800	5.771e+001	4.974e+001	1.584e-002	2.493e+001	5.458e+001
39136.0435300	5.866e+001	5.160e+001	1.466e-002	2.497e+001	5.658e+001
39136.0438800	5.820e+001	5.059e+001	1.197e-002	2.497e+001	5.549e+001
39136.0442300	5.797e+001	5.100e+001	1.584e-002	2.497e+001	5.593e+001
39136.0445700	5.820e+001	5.059e+001	1.796e-002	2.497e+001	5.549e+001
39136.0449200	5.866e+001	5.139e+001	1.693e-002	2.497e+001	5.636e+001
39136.0452700	5.866e+001	5.160e+001	1.893e-002	2.497e+001	5.658e+001
39136.0456200	5.866e+001	5.181e+001	1.796e-002	2.497e+001	5.680e+001
39136.0459600	5.820e+001	5.120e+001	1.693e-002	2.497e+001	5.615e+001
39136.0463100	5.868e+001	5.124e+001	1.466e-002	2.501e+001	5.620e+001
39136.0466600	5.866e+001	5.098e+001	1.466e-002	2.497e+001	5.593e+001
39136.0470000	5.939e+001	5.142e+001	1.893e-002	2.501e+001	5.642e+001
39136.0473500	5.892e+001	5.185e+001	1.693e-002	2.501e+001	5.686e+001
39136.0477000	5.843e+001	5.058e+001	1.466e-002	2.497e+001	5.549e+001
39136.0480500	5.892e+001	5.144e+001	1.584e-002	2.501e+001	5.642e+001
39136.0483900	5.866e+001	5.119e+001	1.693e-002	2.497e+001	5.615e+001
39136.0487400	5.843e+001	5.119e+001	1.466e-002	2.497e+001	5.615e+001
39136.0490900	5.820e+001	5.099e+001	1.584e-002	2.497e+001	5.593e+001
39136.0494300	5.843e+001	5.119e+001	1.584e-002	2.497e+001	5.615e+001
39136.0497800	5.889e+001	5.097e+001	1.466e-002	2.497e+001	5.593e+001
39136.0501300	5.866e+001	5.098e+001	1.339e-002	2.497e+001	5.593e+001
39136.0504800	5.866e+001	5.160e+001	1.693e-002	2.497e+001	5.658e+001
39136.0508200	5.889e+001	5.138e+001	1.584e-002	2.497e+001	5.636e+001
39136.0511700	5.889e+001	5.077e+001	1.584e-002	2.497e+001	5.571e+001
39136.0515200	5.889e+001	5.077e+001	1.693e-002	2.497e+001	5.571e+001
39136.0518700	5.912e+001	5.138e+001	1.584e-002	2.497e+001	5.636e+001
39136.0522100	5.912e+001	5.138e+001	1.584e-002	2.497e+001	5.636e+001
39136.0525600	5.959e+001	5.262e+001	1.986e-002	2.497e+001	5.770e+001
39136.0529100	5.980e+001	5.256e+001	1.796e-002	2.493e+001	5.764e+001
39136.0532500	5.910e+001	5.112e+001	1.693e-002	2.493e+001	5.609e+001
39136.0536000	5.887e+001	5.154e+001	1.693e-002	2.493e+001	5.653e+001
39136.0539500	5.887e+001	5.154e+001	1.584e-002	2.493e+001	5.653e+001
39136.0543000	5.912e+001	5.284e+001	2.074e-002	2.497e+001	5.792e+001
39136.0546400	5.863e+001	5.113e+001	2.074e-002	2.493e+001	5.609e+001
39136.0549900	5.840e+001	5.134e+001	1.584e-002	2.493e+001	5.631e+001
39136.0553400	5.866e+001	5.160e+001	2.074e-002	2.497e+001	5.658e+001
39136.0556800	5.840e+001	5.093e+001	1.796e-002	2.493e+001	5.587e+001
39136.0560300	5.866e+001	5.160e+001	1.893e-002	2.497e+001	5.658e+001
39136.0563800	5.817e+001	5.053e+001	1.893e-002	2.493e+001	5.544e+001
39136.0567300	5.863e+001	5.175e+001	2.074e-002	2.493e+001	5.675e+001
39136.0570700	5.817e+001	5.033e+001	2.319e-002	2.493e+001	5.522e+001
39136.0574200	5.817e+001	5.033e+001	1.986e-002	2.493e+001	5.522e+001
39136.0577700	5.817e+001	5.074e+001	1.893e-002	2.493e+001	5.565e+001
39136.0581200	5.817e+001	5.074e+001	1.893e-002	2.493e+001	5.565e+001
39136.0584600	5.794e+001	5.054e+001	1.796e-002	2.493e+001	5.544e+001
39136.0588100	5.817e+001	5.074e+001	1.796e-002	2.493e+001	5.565e+001
39136.0591600	5.817e+001	5.053e+001	1.986e-002	2.493e+001	5.544e+001
39136.0595000	5.794e+001	5.074e+001	2.074e-002	2.493e+001	5.565e+001
39136.0598500	5.817e+001	5.053e+001	2.159e-002	2.493e+001	5.544e+001
39136.0602000	5.817e+001	5.013e+001	2.074e-002	2.493e+001	5.501e+001
39136.0605500	5.840e+001	5.053e+001	2.159e-002	2.493e+001	5.544e+001
39136.0608900	5.863e+001	5.032e+001	1.986e-002	2.493e+001	5.522e+001
39136.0612400	5.817e+001	5.013e+001	2.074e-002	2.493e+001	5.501e+001
39136.0615900	5.794e+001	5.014e+001	1.693e-002	2.493e+001	5.501e+001
39136.0619300	5.726e+001	4.975e+001	1.986e-002	2.493e+001	5.458e+001
39136.0622800	5.703e+001	4.956e+001	1.796e-002	2.493e+001	5.437e+001
39136.0626300	5.703e+001	4.956e+001	1.796e-002	2.493e+001	5.437e+001
39136.0629800	5.726e+001	4.936e+001	1.693e-002	2.493e+001	5.416e+001
39136.0633200	5.726e+001	4.955e+001	1.986e-002	2.493e+001	5.437e+001
39136.0636700	5.771e+001	4.954e+001	2.240e-002	2.493e+001	5.437e+001
39136.0640200	5.771e+001	4.954e+001	1.796e-002	2.493e+001	5.437e+001
39136.0643700	5.794e+001	4.954e+001	1.986e-002	2.493e+001	5.437e+001
39136.0647100	5.794e+001	4.954e+001	2.159e-002	2.493e+001	5.437e+001
39136.0650600	5.794e+001	4.954e+001	2.074e-002	2.493e+001	5.437e+001
39136.0654100	5.794e+001	4.973e+001	2.074e-002	2.493e+001	5.458e+001
