Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39170.2505900	-7.063e-003	3.344e-002	1.339e-002	2.353e+001	5.010e-002
39170.2509400	-7.063e-003	3.368e-002	1.339e-002	2.353e+001	5.047e-002
39170.2512900	-7.038e-003	3.403e-002	1.197e-002	2.357e+001	5.103e-002
39170.2516300	-7.021e-003	3.451e-002	1.197e-002	2.357e+001	5.178e-002
39170.2519800	-7.021e-003	3.427e-002	1.197e-002	2.357e+001	5.141e-002
39170.2523300	-7.021e-003	3.402e-002	1.339e-002	2.357e+001	5.103e-002
39170.2526800	-6.995e-003	3.438e-002	1.339e-002	2.361e+001	5.159e-002
39170.2530200	-7.021e-003	3.355e-002	1.339e-002	2.357e+001	5.028e-002
39170.2533700	-6.995e-003	3.486e-002	1.197e-002	2.361e+001	5.235e-002
39170.2537200	-6.995e-003	3.414e-002	1.197e-002	2.361e+001	5.121e-002
39170.2540600	-6.995e-003	3.414e-002	1.197e-002	2.361e+001	5.121e-002
39170.2544100	-6.995e-003	3.462e-002	1.197e-002	2.361e+001	5.197e-002
39170.2547600	-6.995e-003	3.438e-002	1.339e-002	2.361e+001	5.159e-002
39170.2551100	-6.995e-003	3.414e-002	1.197e-002	2.361e+001	5.121e-002
39170.2554500	-6.995e-003	3.462e-002	1.197e-002	2.361e+001	5.197e-002
39170.2558000	-6.995e-003	3.438e-002	1.197e-002	2.361e+001	5.159e-002
39170.2561500	-6.995e-003	3.462e-002	8.467e-003	2.361e+001	5.197e-002
39170.2565000	-6.970e-003	3.449e-002	1.197e-002	2.365e+001	5.178e-002
39170.2568400	-6.970e-003	3.473e-002	1.037e-002	2.365e+001	5.216e-002
39170.2571900	-6.995e-003	3.438e-002	1.339e-002	2.361e+001	5.159e-002
39170.2575400	-6.970e-003	3.498e-002	1.197e-002	2.365e+001	5.254e-002
39170.2578800	-6.995e-003	3.462e-002	1.339e-002	2.361e+001	5.197e-002
