Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39474.3337100	8.326e+000	1.870e+001	1.339e-002	2.451e+001	3.204e+001
39474.3340500	8.539e+000	1.909e+001	1.339e-002	2.443e+001	3.272e+001
39474.3344000	8.883e+000	1.972e+001	1.197e-002	2.451e+001	3.382e+001
39474.3347500	9.117e+000	2.023e+001	1.339e-002	2.447e+001	3.470e+001
39474.3350900	9.387e+000	2.073e+001	1.466e-002	2.439e+001	3.557e+001
39474.3354400	9.708e+000	2.117e+001	1.466e-002	2.435e+001	3.637e+001
39474.3357900	9.971e+000	2.175e+001	1.584e-002	2.435e+001	3.736e+001
39474.3361400	1.024e+001	2.216e+001	1.466e-002	2.435e+001	3.808e+001
39474.3364800	1.043e+001	2.237e+001	1.693e-002	2.431e+001	3.849e+001
39474.3368300	1.062e+001	2.278e+001	1.693e-002	2.427e+001	3.919e+001
39474.3371800	4.575e+000	7.500e+000	1.426e-001	2.431e+001	1.325e+001
39474.3375300	1.454e+000	1.546e+000	1.259e-001	2.435e+001	2.900e+000
39474.3378700	2.914e+000	2.633e+000	1.285e-001	2.447e+001	5.082e+000
39474.3382200	2.630e+000	2.025e+000	8.467e-002	2.451e+001	4.037e+000
39474.3385700	1.750e+000	2.192e+000	1.323e-001	2.459e+001	2.382e+000
39474.3389100	5.126e+000	3.534e+000	1.208e-001	2.447e+001	3.908e+000
39474.3392600	4.754e+000	3.776e+000	1.136e-001	2.215e+001	4.154e+000
39474.3396100	1.129e+001	6.800e+000	1.474e-001	1.935e+001	7.562e+000
39474.3399600	2.160e+001	1.029e+001	1.172e-001	1.943e+001	1.158e+001
39474.3403000	2.569e+001	1.157e+001	1.123e-001	2.019e+001	1.306e+001
39474.3406500	2.185e+001	1.335e+001	1.144e-001	2.079e+001	1.483e+001
39474.3410000	6.397e+000	4.131e+000	1.649e-001	2.135e+001	4.580e+000
39474.3413400	5.423e+000	3.791e+000	1.701e-001	2.219e+001	7.719e+000
39474.3416900	4.198e+000	5.049e+000	1.374e-001	2.247e+001	5.491e+000
39474.3420400	4.449e-001	4.500e-001	1.117e-001	2.259e+001	4.915e-001
39474.3423900	5.133e-001	5.562e-001	7.357e-002	2.283e+001	1.040e+000
39474.3427300	6.648e-001	8.380e-001	7.667e-002	2.307e+001	1.531e+000
39474.3430800	5.467e+000	6.010e+000	1.310e-001	2.323e+001	1.121e+001
39474.3434300	9.648e-001	6.390e-001	1.158e-001	2.343e+001	7.078e-001
39474.3437800	2.390e-001	1.665e-001	1.199e-001	2.347e+001	3.394e-001
39474.3441200	8.839e+000	7.950e+000	1.156e-001	2.355e+001	1.536e+001
39474.3444700	2.905e+001	3.341e+001	1.170e-001	2.363e+001	3.638e+001
39474.3448200	6.843e+001	7.602e+001	9.020e-002	2.371e+001	8.283e+001
39474.3451600	5.097e+001	5.849e+001	1.021e-001	2.367e+001	6.368e+001
39474.3455100	1.942e+001	2.275e+001	1.724e-001	2.379e+001	2.475e+001
39474.3458600	2.674e+001	1.857e+001	1.037e-001	2.399e+001	3.787e+001
39474.3462100	3.837e+001	2.864e+001	8.900e-002	2.419e+001	5.746e+001
39474.3465500	2.606e+001	3.232e+001	8.860e-002	2.435e+001	3.513e+001
39474.3469000	2.218e+001	2.690e+001	5.388e-002	2.455e+001	2.925e+001
39474.3472500	2.060e+001	2.532e+001	8.099e-002	2.471e+001	2.752e+001
39474.3475900	1.972e+001	2.314e+001	8.445e-002	2.483e+001	2.518e+001
39474.3479400	2.134e+001	2.634e+001	5.742e-002	2.503e+001	2.863e+001
39474.3482900	2.556e+001	3.140e+001	9.541e-002	2.515e+001	3.413e+001
39474.3486400	3.026e+001	2.065e+001	1.071e-001	2.527e+001	4.228e+001
39474.3489800	2.269e+001	2.674e+001	1.243e-001	2.535e+001	2.910e+001
39474.3493300	2.986e+001	3.745e+001	1.202e-001	2.543e+001	4.070e+001
39474.3496800	2.827e+001	3.537e+001	1.176e-001	2.559e+001	3.844e+001
39474.3500300	2.986e+001	2.031e+001	1.228e-001	2.571e+001	4.162e+001
39474.3503700	2.782e+001	3.465e+001	1.263e-001	2.583e+001	3.765e+001
39474.3507200	1.304e+001	8.992e+000	1.548e-001	2.587e+001	9.945e+000
39474.3510700	2.272e+001	2.125e+001	1.412e-001	2.571e+001	2.326e+001
39474.3514100	2.074e+001	2.359e+001	8.403e-002	2.571e+001	2.569e+001
39474.3517600	2.215e+001	2.544e+001	9.217e-002	2.579e+001	2.769e+001
39474.3521100	2.209e+001	2.549e+001	4.637e-002	2.587e+001	2.775e+001
39474.3524600	2.271e+001	2.635e+001	8.403e-002	2.595e+001	2.868e+001
39474.3528000	2.335e+001	2.659e+001	1.004e-001	2.603e+001	2.896e+001
39474.3531500	2.368e+001	2.694e+001	1.047e-001	2.623e+001	2.934e+001
