Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39240.2401800	7.539e-001	8.467e-001	1.466e-002	1.309e+001	1.574e+000
39240.2405200	7.641e-001	8.630e-001	1.466e-002	1.313e+001	1.603e+000
39240.2408700	7.816e-001	8.840e-001	1.693e-002	1.321e+001	1.642e+000
39240.2412200	7.954e-001	9.004e-001	1.584e-002	1.325e+001	1.672e+000
39240.2415600	8.061e-001	9.177e-001	1.584e-002	1.329e+001	1.703e+000
39240.2419100	8.236e-001	9.293e-001	1.693e-002	1.333e+001	1.727e+000
39240.2422600	8.347e-001	9.425e-001	1.466e-002	1.337e+001	1.751e+000
39240.2426100	1.883e+001	2.299e+001	1.860e-001	1.349e+001	2.499e+001
39240.2429500	3.737e+002	3.181e+002	2.155e-001	1.397e+001	3.492e+002
39240.2433000	8.166e+002	8.533e+002	1.491e-001	1.469e+001	9.312e+002
39240.2436500	7.673e+002	8.953e+002	1.150e-001	1.549e+001	9.743e+002
39240.2440000	5.179e+002	3.640e+002	1.399e-001	1.625e+001	7.402e+002
39240.2443400	1.222e+001	1.394e+001	1.139e-001	1.681e+001	2.586e+001
39240.2446900	4.066e+002	8.928e+002	1.161e-001	1.657e+001	1.533e+003
39240.2450400	5.106e+002	1.177e+003	1.260e-001	1.461e+001	2.013e+003
39240.2453800	2.630e+001	2.641e+001	1.122e-001	1.317e+001	5.001e+001
39240.2457300	4.691e+002	4.905e+002	1.483e-001	1.349e+001	5.353e+002
39240.2460800	9.553e+001	8.031e+001	1.170e-001	1.433e+001	1.572e+002
39240.2464300	7.086e+000	1.329e+001	1.270e-001	1.493e+001	2.315e+001
39240.2467700	1.072e+001	1.743e+001	1.150e-001	1.545e+001	3.084e+001
39240.2471200	1.200e+001	1.876e+001	1.395e-001	1.593e+001	3.334e+001
39240.2474700	1.484e+001	1.441e+001	1.223e-001	1.649e+001	2.744e+001
39240.2478100	2.014e+001	1.468e+001	1.097e-001	1.689e+001	2.961e+001
39240.2481600	3.905e+000	5.739e+000	1.409e-001	1.701e+001	1.028e+001
39240.2485100	5.769e+000	7.021e+000	1.215e-001	1.717e+001	1.290e+001
39240.2488600	3.832e+000	5.391e+000	1.000e-001	1.725e+001	9.706e+000
39240.2492000	6.670e+001	1.258e+002	1.083e-001	1.713e+001	2.190e+002
39240.2495500	3.642e+002	7.168e+002	1.133e-001	1.605e+001	1.243e+003
39240.2499000	1.589e+002	2.916e+002	7.806e-002	1.521e+001	5.091e+002
39240.2502500	1.941e+002	3.371e+002	7.525e-002	1.457e+001	5.920e+002
39240.2505900	1.453e+002	2.534e+002	9.236e-002	1.405e+001	4.447e+002
39240.2509400	9.309e+001	1.585e+002	6.667e-002	1.373e+001	2.789e+002
39240.2512900	3.225e+002	5.648e+002	7.737e-002	1.349e+001	9.910e+002
39240.2516300	3.277e+002	5.897e+002	7.525e-002	1.345e+001	1.032e+003
39240.2519800	4.827e+002	7.804e+002	5.219e-002	1.361e+001	1.381e+003
39240.2523300	3.872e+002	6.372e+002	5.742e-002	1.381e+001	1.126e+003
39240.2526800	2.892e+002	5.145e+002	5.421e-002	1.417e+001	9.012e+002
39240.2530200	1.714e+002	2.931e+002	5.487e-002	1.457e+001	5.156e+002
39240.2533700	2.127e+002	3.493e+002	5.957e-002	1.509e+001	6.172e+002
39240.2537200	3.796e+002	6.797e+002	7.159e-002	1.557e+001	1.190e+003
39240.2540600	4.429e+002	7.781e+002	6.193e-002	1.609e+001	1.365e+003
39240.2544100	3.988e+002	6.581e+002	7.308e-002	1.669e+001	1.162e+003
39240.2547600	6.547e+002	1.038e+003	1.203e-001	1.729e+001	1.841e+003
39240.2551100	6.034e+002	1.038e+003	1.148e-001	1.665e+001	1.825e+003
39240.2554500	7.588e+002	9.296e+002	1.217e-001	1.585e+001	1.706e+003
39240.2558000	1.077e+003	1.633e+003	1.303e-001	1.461e+001	2.913e+003
39240.2561500	8.744e+002	1.380e+003	9.000e-002	1.473e+001	2.450e+003
39240.2565000	2.242e+003	2.831e+003	8.920e-002	1.553e+001	5.172e+003
