Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39104.2527500	4.535e+000	2.630e+000	1.560e-001	2.557e+001	2.930e+000
39104.2530900	1.213e+001	6.875e+000	1.571e-001	2.661e+001	7.667e+000
39104.2534400	6.359e+001	6.029e+001	1.729e-001	2.749e+001	6.597e+001
39104.2537900	8.191e+001	6.698e+001	2.001e-001	2.753e+001	7.362e+001
39104.2541300	5.869e+001	4.273e+001	1.782e-001	2.729e+001	4.716e+001
39104.2544800	7.575e+001	6.594e+001	1.476e-001	2.713e+001	7.233e+001
39104.2548300	1.274e+002	1.211e+002	1.252e-001	2.689e+001	1.325e+002
39104.2551800	9.001e+000	4.769e+000	1.145e-001	2.677e+001	5.336e+000
39104.2555200	1.927e+001	1.091e+001	1.625e-001	2.701e+001	1.216e+001
39104.2558700	3.748e+001	2.682e+001	1.301e-001	2.693e+001	2.962e+001
39104.2562200	2.406e+001	1.780e+001	1.626e-001	2.673e+001	1.964e+001
39104.2565600	1.686e+001	1.022e+001	1.488e-001	2.669e+001	1.136e+001
39104.2569100	2.246e+001	1.712e+001	9.255e-002	2.709e+001	1.887e+001
39104.2572600	1.451e+001	9.334e+000	1.073e-001	2.709e+001	1.035e+001
39104.2576100	1.181e+002	9.247e+001	1.011e-001	2.677e+001	1.018e+002
39104.2579500	4.924e+001	3.326e+001	8.551e-002	2.661e+001	3.681e+001
39104.2583000	6.380e+001	3.694e+001	8.403e-002	2.641e+001	4.116e+001
39104.2586500	6.098e+001	3.577e+001	1.178e-001	2.621e+001	3.983e+001
39104.2590000	4.540e+001	2.991e+001	1.101e-001	2.605e+001	3.314e+001
39104.2593400	1.984e+001	1.062e+001	1.573e-001	2.585e+001	1.187e+001
39104.2596900	1.248e+001	7.961e+000	1.172e-001	2.553e+001	8.831e+000
39104.2600400	2.126e+001	1.507e+001	1.327e-001	2.525e+001	1.665e+001
39104.2603800	1.935e+001	1.362e+001	1.206e-001	2.501e+001	1.505e+001
39104.2607300	5.053e+000	3.712e+000	6.930e-002	2.489e+001	4.096e+000
39104.2610800	1.330e+002	1.023e+002	1.722e-001	2.477e+001	1.127e+002
39104.2614300	1.300e+002	9.959e+001	1.447e-001	2.481e+001	1.097e+002
39104.2617700	9.999e+001	7.581e+001	1.561e-001	2.489e+001	8.354e+001
39104.2621200	1.817e+002	1.460e+002	1.718e-001	2.501e+001	1.606e+002
39104.2624700	3.730e+001	2.502e+001	1.657e-001	2.509e+001	2.770e+001
39104.2628100	5.951e+001	4.176e+001	1.650e-001	2.513e+001	4.615e+001
39104.2631600	6.262e+001	4.270e+001	1.716e-001	2.513e+001	4.725e+001
39104.2635100	8.122e+001	5.639e+001	1.524e-001	2.525e+001	6.235e+001
39104.2638600	1.533e+002	1.151e+002	1.331e-001	2.533e+001	1.269e+002
39104.2642000	1.482e+002	1.165e+002	1.205e-001	2.545e+001	1.282e+002
39104.2645500	1.381e+002	1.034e+002	1.361e-001	2.545e+001	1.140e+002
39104.2649000	1.598e+002	1.223e+002	1.291e-001	2.557e+001	1.347e+002
39104.2652500	1.280e+002	9.125e+001	1.427e-001	2.569e+001	1.008e+002
39104.2655900	1.401e+002	1.009e+002	1.141e-001	2.581e+001	1.114e+002
39104.2659400	1.470e+002	1.078e+002	1.005e-001	2.593e+001	1.190e+002
39104.2662900	1.548e+002	1.141e+002	1.054e-001	2.601e+001	1.259e+002
39104.2666300	1.235e+002	8.178e+001	1.118e-001	2.613e+001	9.059e+001
39104.2669800	1.184e+002	7.747e+001	8.445e-002	2.617e+001	8.585e+001
39104.2673300	1.204e+002	8.354e+001	7.134e-002	2.629e+001	9.237e+001
39104.2676800	9.566e+001	6.752e+001	1.586e-001	2.633e+001	7.460e+001
39104.2680200	3.604e+001	2.281e+001	1.014e-001	2.633e+001	2.531e+001
39104.2683700	1.800e+001	1.099e+001	1.042e-001	2.613e+001	1.221e+001
39104.2687200	1.146e+001	6.989e+000	1.693e-001	2.581e+001	7.769e+000
39104.2690600	7.032e+001	4.817e+001	1.086e-001	2.569e+001	5.329e+001
39104.2694100	1.372e+001	6.455e+000	1.064e-001	2.557e+001	7.268e+000
39104.2697600	5.577e+000	3.262e+000	1.415e-001	2.529e+001	3.632e+000
39104.2701100	2.623e+001	1.739e+001	8.819e-002	2.513e+001	1.926e+001
39104.2704500	5.195e+000	3.585e+000	1.078e-001	2.509e+001	3.965e+000
39104.2708000	8.155e+000	6.003e+000	1.237e-001	2.501e+001	6.622e+000
39104.2711500	6.647e+000	6.069e+000	1.182e-001	2.501e+001	6.648e+000
39104.2715000	9.496e+000	7.151e+000	1.571e-001	2.517e+001	7.883e+000
39104.2718400	1.566e+001	9.505e+000	1.042e-001	2.525e+001	1.057e+001
39104.2721900	1.287e+001	8.880e+000	1.646e-001	2.529e+001	9.820e+000
39104.2725400	2.312e+001	1.447e+001	7.109e-002	2.537e+001	1.607e+001
39104.2728800	3.030e+000	2.029e+000	1.114e-001	2.533e+001	2.247e+000
39104.2732300	8.197e+000	5.124e+000	1.746e-001	2.529e+001	5.689e+000
39104.2735800	6.783e+000	4.342e+000	1.377e-001	2.525e+001	4.816e+000
39104.2739300	9.547e+000	4.005e+000	1.460e-001	2.525e+001	4.540e+000
39104.2742700	3.002e-001	5.597e-002	8.738e-002	2.505e+001	6.839e-002
39104.2746200	1.073e+002	7.408e+001	1.880e-001	2.489e+001	8.192e+001
39104.2749700	1.335e+002	1.022e+002	1.466e-002	2.473e+001	1.126e+002
39104.2753100	1.344e+002	1.040e+002	1.584e-002	2.465e+001	1.146e+002
39104.2756600	1.403e+002	1.084e+002	1.584e-002	2.457e+001	1.194e+002
39104.2760100	1.402e+002	1.082e+002	1.584e-002	2.449e+001	1.192e+002
39104.2763600	1.146e+002	8.488e+001	1.584e-002	2.441e+001	9.362e+001
