Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39565.2364800	-6.023e-003	1.026e-002	1.339e-002	1.987e+001	1.410e-002
39565.2368300	-6.023e-003	1.026e-002	1.584e-002	1.987e+001	1.410e-002
39565.2371800	-6.012e-003	1.040e-002	1.466e-002	1.991e+001	1.433e-002
39565.2375300	-6.012e-003	1.040e-002	1.584e-002	1.991e+001	1.433e-002
39565.2378700	-6.023e-003	1.026e-002	1.339e-002	1.987e+001	1.410e-002
39565.2382200	-6.012e-003	1.040e-002	1.693e-002	1.991e+001	1.433e-002
39565.2385700	-6.012e-003	1.040e-002	1.339e-002	1.991e+001	1.433e-002
39565.2389100	-6.012e-003	1.040e-002	1.584e-002	1.991e+001	1.433e-002
39565.2392600	-6.012e-003	1.040e-002	1.339e-002	1.991e+001	1.433e-002
39565.2396100	-6.012e-003	1.040e-002	1.693e-002	1.991e+001	1.433e-002
39565.2399600	-6.001e-003	1.054e-002	1.584e-002	1.995e+001	1.456e-002
39565.2403000	-6.012e-003	1.040e-002	1.339e-002	1.991e+001	1.433e-002
39565.2406500	-6.001e-003	1.054e-002	1.693e-002	1.995e+001	1.456e-002
39565.2410000	-6.001e-003	1.054e-002	1.693e-002	1.995e+001	1.456e-002
39565.2413400	-6.001e-003	1.054e-002	1.584e-002	1.995e+001	1.456e-002
39565.2416900	-6.001e-003	1.054e-002	1.466e-002	1.995e+001	1.456e-002
39565.2420400	-6.009e-003	1.055e-002	1.693e-002	1.995e+001	1.456e-002
39565.2423900	-6.001e-003	1.054e-002	1.584e-002	1.995e+001	1.456e-002
39565.2427300	-6.001e-003	1.054e-002	1.339e-002	1.995e+001	1.456e-002
39565.2430800	-6.009e-003	1.055e-002	1.584e-002	1.995e+001	1.456e-002
39565.2434300	-6.009e-003	1.055e-002	1.466e-002	1.995e+001	1.456e-002
39565.2437800	-6.009e-003	1.055e-002	1.693e-002	1.995e+001	1.456e-002
39565.2441200	-5.998e-003	1.069e-002	1.693e-002	1.999e+001	1.479e-002
39565.2444700	-5.998e-003	1.069e-002	1.466e-002	1.999e+001	1.479e-002
39565.2448200	-5.998e-003	1.069e-002	1.466e-002	1.999e+001	1.479e-002
39565.2451600	-5.987e-003	1.083e-002	1.584e-002	2.003e+001	1.502e-002
39565.2455100	-5.998e-003	1.069e-002	1.339e-002	1.999e+001	1.479e-002
39565.2458600	-5.987e-003	1.083e-002	1.893e-002	2.003e+001	1.502e-002
39565.2462100	-5.987e-003	1.083e-002	1.796e-002	2.003e+001	1.502e-002
39565.2465500	-5.987e-003	1.083e-002	1.693e-002	2.003e+001	1.502e-002
39565.2469000	-5.987e-003	1.083e-002	1.466e-002	2.003e+001	1.502e-002
