Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39426.2295500	1.272e+001	8.816e+000	6.720e-002	1.879e+001	9.748e+000
39426.2299000	1.153e+001	7.912e+000	5.896e-002	1.895e+001	8.752e+000
39426.2302500	1.239e+001	8.704e+000	5.835e-002	1.911e+001	9.620e+000
39426.2305900	1.205e+001	8.447e+000	7.184e-002	1.927e+001	9.336e+000
39426.2309400	1.256e+001	8.581e+000	8.165e-002	1.943e+001	9.493e+000
39426.2312900	1.429e+001	1.028e+001	6.747e-002	1.955e+001	1.135e+001
39426.2316300	1.320e+001	9.357e+000	4.520e-002	1.967e+001	1.034e+001
39426.2319800	1.292e+001	9.128e+000	5.927e-002	1.975e+001	1.009e+001
39426.2323300	1.340e+001	9.565e+000	4.148e-002	1.987e+001	1.056e+001
39426.2326800	1.295e+001	9.249e+000	3.786e-002	1.991e+001	1.021e+001
39426.2330200	1.281e+001	8.828e+000	6.878e-002	1.995e+001	9.763e+000
39426.2333700	1.183e+001	7.495e+000	8.614e-002	2.003e+001	8.317e+000
39426.2337200	8.107e+000	5.039e+000	1.249e-001	2.003e+001	5.597e+000
39426.2340600	1.138e+001	7.629e+000	9.390e-002	2.003e+001	8.447e+000
39426.2344100	1.201e+001	7.990e+000	1.291e-001	2.003e+001	8.849e+000
39426.2347600	1.628e+001	1.203e+001	4.714e-002	1.999e+001	1.327e+001
39426.2351100	1.634e+001	1.218e+001	5.115e-002	1.999e+001	1.343e+001
39426.2354500	1.585e+001	1.168e+001	7.084e-002	2.003e+001	1.288e+001
39426.2358000	1.134e+001	7.724e+000	9.040e-002	2.003e+001	8.546e+000
39426.2361500	7.249e+000	2.932e+000	1.042e-001	2.003e+001	3.331e+000
39426.2365000	5.862e+000	3.265e+000	1.551e-001	2.003e+001	3.645e+000
39426.2368400	8.984e+000	5.316e+000	1.202e-001	1.995e+001	5.917e+000
39426.2371900	1.632e+001	8.971e+000	1.513e-001	1.991e+001	1.002e+001
39426.2375400	6.156e+000	2.664e+000	1.464e-001	1.975e+001	3.014e+000
39426.2378800	2.433e+001	1.593e+001	1.335e-001	1.955e+001	1.765e+001
39426.2382300	3.441e+001	2.045e+001	1.601e-001	1.951e+001	2.276e+001
39426.2385800	3.303e+001	1.858e+001	9.764e-002	1.963e+001	2.073e+001
39426.2389300	3.936e+001	2.277e+001	1.537e-001	1.979e+001	2.537e+001
39426.2392700	3.563e+001	2.028e+001	5.045e-002	1.983e+001	2.262e+001
39426.2396200	2.612e+001	1.556e+001	1.512e-001	1.995e+001	1.731e+001
39426.2399700	1.400e+001	1.026e+001	1.719e-001	1.999e+001	1.133e+001
39426.2403100	3.324e+001	1.885e+001	1.169e-001	2.011e+001	2.102e+001
39426.2406600	3.473e+001	2.080e+001	1.298e-001	2.023e+001	2.314e+001
39426.2410100	3.501e+001	4.183e+001	9.447e-002	2.027e+001	4.550e+001
39426.2413600	4.010e+001	2.827e+001	5.045e-002	2.035e+001	5.746e+001
39426.2417000	4.000e+001	3.059e+001	6.747e-002	2.047e+001	6.106e+001
39426.2420500	3.623e+001	2.500e+001	6.720e-002	2.055e+001	5.105e+001
39426.2424000	3.531e+001	2.551e+001	4.973e-002	2.063e+001	5.155e+001
39426.2427500	3.617e+001	2.762e+001	5.150e-002	2.071e+001	5.515e+001
39426.2430900	3.606e+001	2.868e+001	4.016e-002	2.079e+001	5.677e+001
39426.2434400	3.553e+001	2.746e+001	4.559e-002	2.083e+001	5.468e+001
39426.2437900	3.600e+001	2.884e+001	4.317e-002	2.095e+001	5.700e+001
39426.2441300	3.560e+001	2.575e+001	6.531e-002	2.099e+001	5.203e+001
39426.2444800	3.579e+001	2.698e+001	6.017e-002	2.111e+001	5.402e+001
39426.2448300	3.527e+001	2.686e+001	4.520e-002	2.115e+001	5.367e+001
39426.2451800	3.517e+001	2.749e+001	3.279e-002	2.123e+001	5.461e+001
39426.2455200	3.534e+001	2.659e+001	5.287e-002	2.131e+001	5.327e+001
39426.2458700	3.416e+001	2.547e+001	4.520e-002	2.135e+001	5.111e+001
39426.2462200	3.459e+001	2.532e+001	6.930e-002	2.143e+001	5.102e+001
39426.2465600	3.594e+001	2.986e+001	1.277e-001	2.143e+001	3.280e+001
39426.2469100	3.747e+001	2.718e+001	1.046e-001	2.139e+001	3.000e+001
39426.2472600	2.853e+001	1.591e+001	1.496e-001	2.135e+001	1.776e+001
39426.2476100	2.339e+001	1.342e+001	7.783e-002	2.139e+001	1.495e+001
39426.2479500	3.393e+001	1.967e+001	1.337e-001	2.143e+001	2.191e+001
39426.2483000	4.996e+001	2.877e+001	1.223e-001	2.143e+001	3.206e+001
39426.2486500	3.429e+001	1.868e+001	1.264e-001	2.135e+001	2.088e+001
39426.2490000	3.630e+001	2.117e+001	1.009e-001	2.131e+001	2.358e+001
39426.2493400	3.141e+001	1.834e+001	8.940e-002	2.139e+001	2.042e+001
39426.2496900	3.580e+001	2.152e+001	1.215e-001	2.143e+001	2.394e+001
39426.2500400	2.606e+001	1.399e+001	1.403e-001	2.147e+001	1.564e+001
39426.2503800	3.724e+001	2.068e+001	1.027e-001	2.151e+001	2.309e+001
39426.2507300	3.244e+001	1.736e+001	1.466e-001	2.151e+001	1.942e+001
39426.2510800	5.076e+001	3.233e+001	1.554e-001	2.147e+001	3.587e+001
39426.2514300	4.143e+001	2.376e+001	1.106e-001	2.147e+001	2.648e+001
39426.2517700	4.177e+001	2.340e+001	1.577e-001	2.151e+001	2.611e+001
39426.2521200	3.779e+001	2.072e+001	1.120e-001	2.147e+001	2.315e+001
39426.2524700	4.036e+001	2.334e+001	1.152e-001	2.151e+001	2.601e+001
39426.2528100	4.241e+001	2.514e+001	8.920e-002	2.151e+001	2.798e+001
39426.2531600	4.758e+001	2.821e+001	9.579e-002	2.151e+001	3.140e+001
39426.2535100	3.901e+001	2.379e+001	7.429e-002	2.155e+001	2.644e+001
39426.2538600	4.361e+001	2.427e+001	1.182e-001	2.159e+001	2.709e+001
39426.2542000	4.428e+001	2.525e+001	9.801e-002	2.159e+001	2.815e+001
39426.2545500	4.295e+001	2.399e+001	1.285e-001	2.159e+001	2.678e+001
39426.2549000	4.246e+001	2.260e+001	1.139e-001	2.159e+001	2.528e+001
39426.2552500	3.603e+001	2.062e+001	1.555e-001	2.163e+001	2.299e+001
39426.2555900	3.209e+001	1.924e+001	1.214e-001	2.155e+001	2.140e+001
39426.2559400	2.863e+001	1.698e+001	6.364e-002	2.163e+001	1.890e+001
39426.2562900	3.525e+001	1.972e+001	1.434e-001	2.171e+001	2.200e+001
39426.2566300	4.610e+001	2.451e+001	1.097e-001	2.175e+001	2.742e+001
39426.2569800	3.206e+001	1.584e+001	1.409e-001	2.179e+001	1.778e+001
39426.2573300	2.828e+001	1.351e+001	1.705e-001	2.155e+001	1.520e+001
39426.2576800	4.751e+001	2.223e+001	1.285e-001	2.139e+001	2.504e+001
39426.2580200	6.035e+001	3.194e+001	1.167e-001	2.119e+001	3.574e+001
39426.2583700	7.245e+001	3.432e+001	1.079e-001	2.107e+001	3.863e+001
39426.2587200	1.015e+002	3.663e+001	5.421e-002	2.099e+001	4.195e+001
39426.2590600	5.220e+001	2.179e+001	9.197e-002	2.091e+001	2.471e+001
