Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39141.2507900	-4.705e-003	1.000e-003	1.693e-002	1.191e+001	-1.796e-002
39141.2511400	-4.701e-003	1.000e-003	1.584e-002	1.195e+001	-1.789e-002
39141.2514800	-4.701e-003	1.000e-003	1.339e-002	1.195e+001	-1.793e-002
39141.2518300	-4.696e-003	1.000e-003	1.584e-002	1.203e+001	-1.776e-002
39141.2521800	-4.696e-003	1.000e-003	1.584e-002	1.203e+001	-1.776e-002
39141.2525300	-4.692e-003	1.000e-003	1.693e-002	1.207e+001	-1.770e-002
39141.2528700	-4.689e-003	1.000e-003	7.033e-002	1.211e+001	-1.864e-002
39141.2532200	3.096e+000	2.549e+000	2.066e-001	1.231e+001	2.802e+000
39141.2535700	1.091e+001	1.193e+001	8.920e-002	1.299e+001	1.300e+001
39141.2539100	1.325e+001	1.549e+001	9.352e-002	1.363e+001	1.686e+001
39141.2542600	2.376e+001	1.611e+001	1.184e-001	1.419e+001	3.303e+001
39141.2546100	2.796e+001	3.097e+001	1.655e-001	1.479e+001	5.770e+001
39141.2549600	4.650e+000	2.085e+000	1.557e-001	1.543e+001	2.354e+000
39141.2553000	8.664e+000	7.329e+000	1.945e-001	1.595e+001	8.047e+000
39141.2556500	1.255e+001	9.169e+000	6.558e-002	1.655e+001	1.848e+001
39141.2560000	1.367e+001	1.413e+001	9.313e-002	1.711e+001	2.663e+001
39141.2563400	1.447e+001	1.545e+001	9.892e-002	1.767e+001	2.897e+001
39141.2566900	1.313e+001	1.235e+001	5.711e-002	1.815e+001	2.367e+001
39141.2570400	1.145e+001	1.150e+001	5.388e-002	1.859e+001	2.178e+001
39141.2573900	1.199e+001	1.333e+001	3.739e-002	1.899e+001	2.483e+001
39141.2577300	3.586e+001	4.071e+001	1.442e-001	1.939e+001	4.434e+001
39141.2580800	6.797e+000	2.397e+000	1.089e-001	1.975e+001	2.750e+000
39141.2584300	5.942e+000	5.931e+000	1.287e-001	1.983e+001	6.481e+000
39141.2587800	2.069e+000	9.072e-001	1.274e-001	1.991e+001	1.026e+000
39141.2591200	3.656e+000	2.769e+000	1.385e-001	1.975e+001	3.052e+000
39141.2594700	3.897e+000	2.337e+000	1.321e-001	1.975e+001	2.600e+000
39141.2598200	9.436e+000	8.647e+000	1.147e-001	1.975e+001	9.471e+000
39141.2601600	1.311e+001	1.229e+001	8.860e-002	1.979e+001	1.346e+001
39141.2605100	8.493e+000	6.651e+000	8.880e-002	1.991e+001	7.322e+000
39141.2608600	6.750e+000	4.419e+000	9.709e-002	2.003e+001	4.897e+000
39141.2612100	1.642e+001	1.318e+001	1.299e-001	2.015e+001	1.450e+001
39141.2615500	8.847e+000	1.095e+001	1.225e-001	2.019e+001	1.190e+001
39141.2619000	7.216e+000	5.823e+000	1.194e-001	2.019e+001	6.404e+000
39141.2622500	7.383e+000	5.343e+000	1.297e-001	2.035e+001	5.899e+000
39141.2625900	4.940e+000	4.040e+000	1.584e-001	2.043e+001	4.441e+000
39141.2629400	3.383e+000	4.023e+000	1.312e-001	2.047e+001	4.377e+000
39141.2632900	1.015e+001	8.607e+000	1.081e-001	2.055e+001	9.449e+000
39141.2636400	6.107e+000	4.410e+000	6.826e-002	2.067e+001	4.868e+000
39141.2639800	8.090e+000	6.427e+000	8.360e-002	2.079e+001	7.072e+000
39141.2643300	1.030e+001	7.216e+000	6.222e-002	2.095e+001	7.975e+000
39141.2646800	8.332e+000	8.710e+000	1.196e-001	2.111e+001	9.505e+000
39141.2650300	1.314e+001	9.426e+000	4.752e-002	2.123e+001	1.041e+001
39141.2653700	1.027e+001	9.012e+000	7.667e-002	2.147e+001	9.884e+000
39141.2657200	1.290e+001	9.984e+000	8.819e-002	2.159e+001	1.099e+001
39141.2660700	1.049e+001	7.920e+000	8.032e-002	2.179e+001	8.729e+000
39141.2664100	4.579e+000	7.834e+000	9.910e-002	2.187e+001	1.378e+001
39141.2667600	4.061e+000	8.541e+000	6.279e-002	2.183e+001	1.472e+001
39141.2671100	4.179e+000	8.344e+000	7.234e-002	2.187e+001	1.445e+001
39141.2674600	4.922e+000	7.170e+000	9.447e-002	2.191e+001	1.285e+001
39141.2678000	1.022e+001	1.082e+001	1.059e-001	2.191e+001	2.031e+001
39141.2681500	1.197e+001	1.403e+001	1.128e-001	2.187e+001	1.527e+001
39141.2685000	5.237e+000	8.185e+000	1.504e-001	2.183e+001	1.454e+001
39141.2688400	1.522e+001	1.178e+001	9.119e-002	2.171e+001	2.345e+001
39141.2691900	1.378e+001	1.283e+001	1.009e-001	2.171e+001	1.404e+001
39141.2695400	8.593e+000	9.141e+000	8.187e-002	2.175e+001	9.971e+000
39141.2698900	2.313e+001	2.959e+001	1.193e-001	2.183e+001	3.213e+001
39141.2702300	1.320e+001	9.157e+000	1.191e-001	2.175e+001	1.868e+001
39141.2705800	8.906e+000	8.183e+000	8.187e-002	2.175e+001	8.962e+000
39141.2709300	2.177e+001	2.358e+001	1.244e-001	2.175e+001	2.571e+001
39141.2712800	1.553e+001	1.566e+001	8.920e-002	2.175e+001	2.963e+001
39141.2716200	8.807e+000	8.537e+000	8.382e-002	2.179e+001	9.335e+000
39141.2719700	9.360e+000	9.008e+000	6.878e-002	2.187e+001	9.852e+000
39141.2723200	9.050e+000	8.906e+000	8.317e-002	2.199e+001	9.735e+000
39141.2726600	1.079e+001	1.305e+001	1.032e-001	2.207e+001	1.420e+001
