Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39131.3758900	5.360e+001	6.690e+001	1.796e-002	1.927e+001	1.224e+002
39131.3762400	6.230e+001	7.261e+001	1.584e-002	1.919e+001	1.342e+002
39131.3765900	6.499e+001	7.435e+001	1.466e-002	1.915e+001	1.378e+002
39131.3769300	6.344e+001	7.349e+001	1.466e-002	1.907e+001	1.360e+002
39131.3772800	6.391e+001	7.332e+001	1.693e-002	1.903e+001	1.359e+002
39131.3776300	6.463e+001	7.412e+001	1.796e-002	1.899e+001	1.374e+002
39131.3779800	6.612e+001	7.546e+001	1.584e-002	1.895e+001	1.399e+002
39131.3783200	6.794e+001	7.720e+001	1.339e-002	1.895e+001	1.433e+002
39131.3786700	6.979e+001	7.854e+001	1.197e-002	1.891e+001	1.460e+002
39131.3790200	7.060e+001	7.910e+001	1.339e-002	1.891e+001	1.471e+002
39131.3793700	7.113e+001	7.964e+001	1.466e-002	1.887e+001	1.481e+002
39131.3797100	7.003e+001	7.987e+001	1.466e-002	1.887e+001	1.481e+002
39131.3800600	6.892e+001	7.892e+001	1.339e-002	1.883e+001	1.463e+002
39131.3804100	6.892e+001	7.855e+001	1.339e-002	1.883e+001	1.457e+002
39131.3807500	6.863e+001	7.853e+001	1.339e-002	1.879e+001	1.456e+002
39131.3811000	6.525e+001	7.638e+001	1.584e-002	1.879e+001	1.411e+002
39131.3814500	6.252e+001	7.520e+001	1.339e-002	1.879e+001	1.384e+002
39131.3818000	6.153e+001	7.637e+001	8.920e-002	1.875e+001	1.399e+002
39131.3821400	8.600e+001	9.465e+001	1.466e-002	1.883e+001	1.765e+002
39131.3824900	9.045e+001	9.731e+001	1.466e-002	1.883e+001	1.822e+002
39131.3828400	9.403e+001	9.979e+001	1.796e-002	1.883e+001	1.872e+002
39131.3831800	9.407e+001	1.008e+002	1.197e-002	1.887e+001	1.889e+002
39131.3835300	9.013e+001	9.793e+001	1.197e-002	1.887e+001	1.830e+002
39131.3838800	8.470e+001	9.414e+001	1.466e-002	1.887e+001	1.753e+002
39131.3842300	8.372e+001	9.347e+001	1.893e-002	1.887e+001	1.739e+002
39131.3845700	7.933e+001	9.148e+001	1.466e-002	1.891e+001	1.694e+002
39131.3849200	7.397e+001	8.764e+001	1.693e-002	1.891e+001	1.616e+002
39131.3852700	7.484e+001	8.827e+001	1.584e-002	1.891e+001	1.629e+002
39131.3856200	7.115e+001	8.584e+001	1.466e-002	1.891e+001	1.579e+002
39131.3859600	6.309e+001	7.885e+001	2.744e-002	1.891e+001	1.443e+002
39131.3863100	7.143e+001	8.421e+001	1.693e-002	1.891e+001	1.554e+002
39131.3866600	6.742e+001	8.246e+001	1.893e-002	1.895e+001	1.513e+002
39131.3870000	6.818e+001	8.259e+001	1.893e-002	1.891e+001	1.518e+002
39131.3873500	6.842e+001	8.246e+001	1.197e-002	1.887e+001	1.517e+002
39131.3877000	6.786e+001	8.287e+001	1.037e-002	1.883e+001	1.521e+002
39131.3880500	7.741e+001	8.952e+001	1.796e-002	1.879e+001	1.657e+002
39131.3883900	7.985e+001	9.110e+001	1.339e-002	1.879e+001	1.690e+002
39131.3887400	8.237e+001	9.270e+001	1.339e-002	1.879e+001	1.723e+002
39131.3890900	8.202e+001	9.268e+001	1.466e-002	1.875e+001	1.721e+002
39131.3894300	8.167e+001	9.223e+001	1.466e-002	1.871e+001	1.713e+002
39131.3897800	8.103e+001	9.236e+001	1.339e-002	1.871e+001	1.713e+002
39131.3901300	8.295e+001	9.412e+001	1.584e-002	1.871e+001	1.747e+002
39131.3904800	8.291e+001	9.447e+001	1.893e-002	1.867e+001	1.753e+002
39131.3908200	8.392e+001	9.568e+001	2.319e-002	1.871e+001	1.775e+002
39131.3911700	8.490e+001	9.637e+001	1.986e-002	1.871e+001	1.789e+002
