Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39509.3333330	5.870e+000	5.840e+000	1.580e-002	2.090e+001	6.380e+000
39509.3336800	5.910e+000	5.830e+000	1.340e-002	2.090e+001	6.370e+000
39509.3340270	5.910e+000	5.840e+000	1.580e-002	2.080e+001	6.390e+000
39509.3343750	5.980e+000	5.850e+000	1.580e-002	2.090e+001	6.400e+000
39509.3347220	5.520e+000	5.380e+000	1.340e-002	2.080e+001	5.880e+000
39509.3350690	5.750e+000	5.350e+000	8.820e-002	2.080e+001	5.860e+000
39509.3354160	5.960e+000	5.610e+000	1.690e-002	2.080e+001	6.140e+000
39509.3357640	5.930e+000	5.450e+000	1.580e-002	2.080e+001	5.970e+000
39509.3361110	6.030e+000	5.520e+000	1.580e-002	2.080e+001	6.040e+000
39509.3364580	6.050e+000	5.890e+000	1.580e-002	2.080e+001	6.440e+000
39509.3368050	5.980e+000	5.890e+000	1.690e-002	2.080e+001	6.440e+000
39509.3371520	5.930e+000	5.910e+000	1.690e-002	2.080e+001	6.450e+000
39509.3375000	6.290e+000	6.120e+000	1.580e-002	2.080e+001	6.690e+000
39509.3378470	4.370e+000	3.690e+000	1.330e-001	2.080e+001	4.050e+000
39509.3381940	3.390e+001	3.880e+001	1.250e-001	2.110e+001	4.230e+001
39509.3385410	1.570e+002	1.170e+002	9.370e-002	2.150e+001	2.350e+002
39509.3388890	1.060e+002	8.490e+001	1.180e-001	2.170e+001	1.680e+002
39509.3392360	3.580e+001	4.620e+001	1.210e-001	2.150e+001	8.410e+001
39509.3395830	2.660e+002	3.370e+002	1.250e-001	2.040e+001	3.660e+002
39509.3399300	9.030e+002	1.110e+003	1.420e-001	2.070e+001	1.200e+003
39509.3402770	5.430e+002	6.640e+002	1.160e-001	2.150e+001	7.220e+002
39509.3406250	4.880e+002	3.950e+002	1.070e-001	2.170e+001	7.790e+002
39509.3409720	2.260e+003	2.230e+003	1.100e-001	2.190e+001	2.440e+003
