Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39459.2087300	3.956e+001	3.392e+001	2.062e-001	2.779e+001	3.723e+001
39459.2090800	1.552e+001	1.548e+001	1.584e-002	2.771e+001	1.692e+001
39459.2094200	1.549e+001	1.549e+001	1.584e-002	2.759e+001	1.692e+001
39459.2097700	3.763e+001	2.383e+001	1.741e-001	2.747e+001	2.645e+001
39459.2101200	7.760e+001	3.942e+001	1.228e-001	2.739e+001	4.421e+001
39459.2104600	5.136e+001	2.345e+001	1.935e-001	2.719e+001	2.645e+001
39459.2108100	1.058e+002	1.139e+002	1.382e-001	2.695e+001	1.242e+002
39459.2111600	1.299e+002	1.397e+002	7.058e-002	2.707e+001	1.523e+002
39459.2115100	1.205e+002	1.319e+002	7.501e-002	2.727e+001	1.438e+002
39459.2118500	1.254e+002	1.372e+002	9.672e-002	2.747e+001	1.495e+002
39459.2122000	1.300e+002	1.427e+002	7.184e-002	2.767e+001	1.555e+002
39459.2125500	3.486e+001	2.903e+001	1.110e-001	2.779e+001	3.189e+001
39459.2129000	1.920e+001	1.391e+001	1.278e-001	2.759e+001	1.536e+001
39459.2132400	1.267e+002	1.345e+002	7.084e-002	2.731e+001	1.467e+002
39459.2135900	1.406e+002	1.472e+002	8.572e-002	2.739e+001	1.607e+002
39459.2139400	1.319e+002	1.394e+002	6.773e-002	2.755e+001	1.521e+002
39459.2142800	1.409e+002	1.493e+002	7.596e-002	2.767e+001	1.629e+002
39459.2146300	1.225e+002	1.319e+002	8.676e-002	2.783e+001	1.439e+002
39459.2149800	1.412e+002	1.495e+002	8.143e-002	2.791e+001	1.631e+002
39459.2153300	1.526e+002	1.626e+002	9.616e-002	2.803e+001	1.774e+002
39459.2156700	1.350e+002	1.438e+002	7.501e-002	2.807e+001	1.569e+002
39459.2160200	1.356e+002	1.439e+002	1.030e-001	2.811e+001	1.570e+002
39459.2163700	1.557e+002	1.629e+002	8.799e-002	2.815e+001	1.778e+002
39459.2167100	1.405e+002	1.475e+002	6.826e-002	2.819e+001	1.610e+002
39459.2170600	1.326e+002	1.420e+002	7.942e-002	2.819e+001	1.549e+002
39459.2174100	1.384e+002	1.403e+002	1.011e-001	2.823e+001	1.532e+002
39459.2177600	1.374e+002	1.455e+002	1.054e-001	2.827e+001	1.588e+002
39459.2181000	2.365e+002	2.462e+002	9.000e-002	2.831e+001	2.687e+002
39459.2184500	2.602e+002	2.703e+002	1.073e-001	2.835e+001	2.950e+002
39459.2188000	1.933e+002	2.005e+002	1.122e-001	2.847e+001	2.188e+002
39459.2191500	1.759e+002	1.856e+002	1.264e-001	2.863e+001	2.024e+002
39459.2194900	1.637e+002	1.715e+002	8.054e-002	2.875e+001	1.872e+002
39459.2198400	1.709e+002	1.778e+002	7.283e-002	2.883e+001	1.941e+002
39459.2201900	2.192e+002	2.347e+002	1.128e-001	2.899e+001	2.560e+002
39459.2205300	1.911e+002	2.051e+002	1.260e-001	2.899e+001	2.237e+002
39459.2208800	8.542e+001	7.104e+001	1.725e-001	2.895e+001	7.804e+001
39459.2212300	3.414e+002	2.385e+002	9.783e-002	2.911e+001	2.636e+002
