Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39166.2399700	1.053e+003	7.780e+002	9.352e-002	2.301e+001	8.582e+002
39166.2403100	9.164e+002	6.639e+002	1.000e-001	2.317e+001	7.328e+002
39166.2406600	9.501e+002	7.310e+002	9.428e-002	2.381e+001	8.052e+002
39166.2410100	1.097e+003	8.721e+002	9.000e-002	2.457e+001	9.596e+002
39166.2413600	9.786e+002	7.609e+002	1.433e-001	2.513e+001	8.378e+002
39166.2417000	2.104e+002	1.133e+002	1.209e-001	2.565e+001	1.266e+002
39166.2420500	2.223e+001	1.625e+001	1.035e-001	2.569e+001	1.793e+001
39166.2424000	7.097e+000	2.920e+000	1.202e-001	2.541e+001	3.314e+000
39166.2427500	4.714e+000	1.402e+000	1.348e-001	2.517e+001	1.630e+000
39166.2430900	1.725e+000	5.412e-001	1.125e-001	2.517e+001	6.264e-001
39166.2434400	7.708e+000	2.079e+000	8.488e-002	2.509e+001	2.438e+000
39166.2437900	2.802e+001	1.801e+001	1.016e-001	2.493e+001	1.997e+001
39166.2441300	3.374e+001	2.157e+001	1.162e-001	2.473e+001	2.393e+001
39166.2444800	5.958e+001	5.804e+001	1.288e-001	2.465e+001	6.346e+001
39166.2448300	6.100e+001	6.180e+001	5.454e-002	2.469e+001	6.750e+001
39166.2451800	6.182e+001	6.251e+001	7.965e-002	2.485e+001	6.828e+001
39166.2455200	6.921e+001	7.081e+001	7.596e-002	2.497e+001	7.732e+001
39166.2458700	6.743e+001	6.855e+001	3.387e-002	2.505e+001	7.487e+001
39166.2462200	3.605e+001	2.923e+001	1.094e-001	2.509e+001	3.213e+001
39166.2465600	9.030e+001	7.009e+001	6.364e-002	2.505e+001	7.717e+001
39166.2469100	7.423e+001	6.836e+001	1.259e-001	2.505e+001	7.487e+001
39166.2472600	5.674e+001	5.477e+001	1.208e-001	2.509e+001	5.990e+001
39166.2476100	4.700e+001	4.156e+001	1.376e-001	2.509e+001	4.557e+001
39166.2479500	7.251e+001	7.304e+001	8.317e-002	2.501e+001	7.978e+001
39166.2483000	6.567e+001	6.787e+001	8.317e-002	2.509e+001	7.409e+001
39166.2486500	6.379e+001	6.533e+001	8.032e-002	2.525e+001	7.133e+001
39166.2490000	8.236e+001	8.203e+001	6.613e-002	2.545e+001	8.964e+001
39166.2493400	7.406e+001	7.427e+001	8.077e-002	2.557e+001	8.114e+001
39166.2496900	6.738e+001	6.855e+001	6.531e-002	2.569e+001	7.486e+001
