Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39429.3962300	7.566e+000	1.677e+001	1.339e-002	1.867e+001	2.877e+001
39429.3965800	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.3969200	7.601e+000	1.686e+001	1.197e-002	1.871e+001	2.891e+001
39429.3972700	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.3976200	7.537e+000	1.671e+001	1.197e-002	1.867e+001	2.866e+001
39429.3979600	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.3983100	7.537e+000	1.671e+001	1.197e-002	1.867e+001	2.866e+001
39429.3986600	7.537e+000	1.664e+001	1.466e-002	1.867e+001	2.854e+001
39429.3990100	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.3993500	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.3997000	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4000500	7.537e+000	1.671e+001	1.197e-002	1.867e+001	2.866e+001
39429.4004000	7.537e+000	1.664e+001	1.339e-002	1.867e+001	2.854e+001
39429.4007400	7.537e+000	1.671e+001	1.197e-002	1.867e+001	2.866e+001
39429.4010900	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4014400	7.566e+000	1.670e+001	1.466e-002	1.867e+001	2.866e+001
39429.4017800	7.566e+000	1.670e+001	1.466e-002	1.867e+001	2.866e+001
39429.4021300	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.4024800	7.566e+000	1.670e+001	1.466e-002	1.867e+001	2.866e+001
39429.4028300	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.4031700	7.566e+000	1.670e+001	1.197e-002	1.867e+001	2.866e+001
39429.4035200	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4038700	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4042100	7.537e+000	1.671e+001	1.466e-002	1.867e+001	2.866e+001
39429.4045600	7.537e+000	1.671e+001	1.466e-002	1.867e+001	2.866e+001
39429.4049100	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4052600	7.537e+000	1.671e+001	1.584e-002	1.867e+001	2.866e+001
39429.4056000	7.537e+000	1.671e+001	1.466e-002	1.867e+001	2.866e+001
39429.4059500	7.537e+000	1.664e+001	1.197e-002	1.867e+001	2.854e+001
39429.4063000	7.537e+000	1.664e+001	1.197e-002	1.867e+001	2.854e+001
39429.4066500	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4069900	7.508e+000	1.664e+001	1.339e-002	1.867e+001	2.854e+001
39429.4073400	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4076900	7.566e+000	1.670e+001	1.339e-002	1.867e+001	2.866e+001
39429.4080300	7.537e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4083800	7.537e+000	1.671e+001	1.197e-002	1.867e+001	2.866e+001
39429.4087300	7.502e+000	1.655e+001	1.339e-002	1.863e+001	2.840e+001
39429.4090800	7.508e+000	1.671e+001	1.584e-002	1.867e+001	2.866e+001
39429.4094200	7.508e+000	1.671e+001	1.339e-002	1.867e+001	2.866e+001
39429.4097700	7.363e+000	1.667e+001	1.796e-002	1.867e+001	2.854e+001
39429.4101200	7.249e+000	1.655e+001	1.466e-002	1.867e+001	2.832e+001
39429.4104600	7.306e+000	1.661e+001	1.466e-002	1.867e+001	2.843e+001
39429.4108100	7.449e+000	1.673e+001	1.584e-002	1.867e+001	2.866e+001
39429.4111600	7.306e+000	1.640e+001	1.796e-002	1.867e+001	2.810e+001
39429.4115100	7.226e+000	1.644e+001	1.584e-002	1.871e+001	2.813e+001
39429.4118500	7.115e+000	1.472e+001	1.693e-002	1.871e+001	2.541e+001
39429.4122000	3.164e-001	5.868e-002	1.584e-002	1.867e+001	7.176e-002
39429.4125500	9.843e-002	2.526e-002	1.197e-002	1.867e+001	2.977e-002
39429.4129000	6.198e-002	2.173e-002	1.466e-002	1.867e+001	2.493e-002
39429.4132400	4.617e-002	2.074e-002	1.339e-002	1.867e+001	2.342e-002
39429.4135900	3.749e-002	2.046e-002	1.339e-002	1.867e+001	2.286e-002
39429.4139400	3.224e-002	2.052e-002	1.339e-002	1.871e+001	2.277e-002
39429.4142800	2.833e-002	2.037e-002	1.339e-002	1.867e+001	2.249e-002
39429.4146300	2.575e-002	2.044e-002	1.339e-002	1.867e+001	2.249e-002
39429.4149800	2.389e-002	2.076e-002	1.339e-002	1.871e+001	2.277e-002
39429.4153300	2.244e-002	2.080e-002	1.197e-002	1.871e+001	2.277e-002
39429.4156700	2.102e-002	2.058e-002	1.339e-002	1.867e+001	2.249e-002
39429.4160200	2.002e-002	2.060e-002	1.466e-002	1.867e+001	2.249e-002
39429.4163700	1.927e-002	2.062e-002	1.466e-002	1.867e+001	2.249e-002
39429.4167100	1.875e-002	2.064e-002	1.339e-002	1.867e+001	2.249e-002
39429.4170600	1.824e-002	2.065e-002	1.339e-002	1.867e+001	2.249e-002
39429.4174100	1.773e-002	2.067e-002	1.339e-002	1.867e+001	2.249e-002
39429.4177600	1.743e-002	2.068e-002	1.197e-002	1.867e+001	2.249e-002
39429.4181000	1.704e-002	2.069e-002	1.339e-002	1.867e+001	2.249e-002
39429.4184500	1.685e-002	2.069e-002	1.197e-002	1.867e+001	2.249e-002
39429.4188000	1.643e-002	2.045e-002	1.197e-002	1.863e+001	2.222e-002
39429.4191500	1.637e-002	2.071e-002	1.197e-002	1.867e+001	2.249e-002
39429.4194900	1.619e-002	1.108e-002	1.339e-002	1.867e+001	2.268e-002
39429.4198400	1.619e-002	1.108e-002	1.466e-002	1.867e+001	2.268e-002
39429.4201900	1.609e-002	1.110e-002	1.339e-002	1.867e+001	2.268e-002
39429.4205300	1.591e-002	1.114e-002	1.466e-002	1.867e+001	2.268e-002
39429.4208800	1.578e-002	1.099e-002	1.466e-002	1.863e+001	2.240e-002
39429.4212300	1.569e-002	1.113e-002	1.584e-002	1.863e+001	2.258e-002
39429.4215800	1.569e-002	1.113e-002	1.339e-002	1.863e+001	2.258e-002
39429.4219200	1.559e-002	1.115e-002	1.339e-002	1.863e+001	2.258e-002
39429.4222700	1.550e-002	1.128e-002	1.466e-002	1.863e+001	2.277e-002
39429.4226200	1.550e-002	1.128e-002	1.339e-002	1.863e+001	2.277e-002
39429.4229600	1.550e-002	1.140e-002	1.466e-002	1.863e+001	2.295e-002
39429.4233100	1.541e-002	1.142e-002	1.339e-002	1.863e+001	2.295e-002
39429.4236600	1.541e-002	1.142e-002	1.339e-002	1.863e+001	2.295e-002
39429.4240100	1.529e-002	1.127e-002	1.466e-002	1.859e+001	2.267e-002
39429.4243500	1.541e-002	1.154e-002	1.197e-002	1.863e+001	2.314e-002
39429.4247000	1.529e-002	1.139e-002	1.466e-002	1.859e+001	2.286e-002
39429.4250500	1.529e-002	1.150e-002	1.197e-002	1.859e+001	2.304e-002
39429.4254000	1.529e-002	1.162e-002	1.197e-002	1.859e+001	2.323e-002
39429.4257400	1.529e-002	1.162e-002	1.197e-002	1.859e+001	2.323e-002
39429.4260900	1.538e-002	1.172e-002	1.339e-002	1.859e+001	2.341e-002
39429.4264400	1.547e-002	1.170e-002	1.339e-002	1.859e+001	2.341e-002
39429.4267800	1.547e-002	1.182e-002	1.339e-002	1.859e+001	2.360e-002
39429.4271300	1.556e-002	1.204e-002	1.339e-002	1.859e+001	2.398e-002
39429.4274800	1.556e-002	1.216e-002	1.339e-002	1.859e+001	2.417e-002
39429.4278300	1.565e-002	1.239e-002	1.466e-002	1.859e+001	2.455e-002
39429.4281700	1.574e-002	1.249e-002	1.466e-002	1.859e+001	2.474e-002
39429.4285200	1.583e-002	1.272e-002	1.466e-002	1.859e+001	2.512e-002
39429.4288700	1.593e-002	1.282e-002	1.339e-002	1.859e+001	2.532e-002
39429.4292100	1.593e-002	1.307e-002	1.197e-002	1.859e+001	2.570e-002
39429.4295600	1.602e-002	1.330e-002	1.339e-002	1.859e+001	2.610e-002
39429.4299100	1.621e-002	1.339e-002	1.466e-002	1.859e+001	2.629e-002
39429.4302600	1.617e-002	1.346e-002	1.339e-002	1.855e+001	2.639e-002
