Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39202.3341300	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3344800	-1.591e-002	1.356e-002	1.037e-002	2.133e+001	1.605e-002
39202.3348300	-1.591e-002	1.369e-002	1.197e-002	2.133e+001	1.625e-002
39202.3351800	-1.592e-002	1.337e-002	1.197e-002	2.129e+001	1.574e-002
39202.3355200	-1.592e-002	1.357e-002	1.197e-002	2.133e+001	1.605e-002
39202.3358700	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3362200	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3365600	-1.591e-002	1.369e-002	1.197e-002	2.133e+001	1.625e-002
39202.3369100	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3372600	-1.592e-002	1.337e-002	1.197e-002	2.129e+001	1.574e-002
39202.3376100	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3379500	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3383000	-1.591e-002	1.356e-002	1.339e-002	2.133e+001	1.605e-002
39202.3386500	-1.592e-002	1.337e-002	1.197e-002	2.129e+001	1.574e-002
39202.3390000	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3393400	-1.591e-002	1.369e-002	1.197e-002	2.133e+001	1.625e-002
39202.3396900	-1.591e-002	1.369e-002	1.197e-002	2.133e+001	1.625e-002
39202.3400400	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3403800	-1.591e-002	1.356e-002	1.339e-002	2.133e+001	1.605e-002
39202.3407300	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3410800	-1.590e-002	1.376e-002	1.197e-002	2.137e+001	1.635e-002
39202.3414300	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3417700	-1.590e-002	1.376e-002	1.197e-002	2.137e+001	1.635e-002
39202.3421200	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3424700	-1.591e-002	1.369e-002	1.197e-002	2.133e+001	1.625e-002
39202.3428100	-1.590e-002	1.376e-002	1.197e-002	2.137e+001	1.635e-002
39202.3431600	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3435100	-1.590e-002	1.389e-002	1.197e-002	2.137e+001	1.656e-002
39202.3438600	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3442000	-1.590e-002	1.376e-002	1.339e-002	2.137e+001	1.635e-002
39202.3445500	-1.590e-002	1.389e-002	1.339e-002	2.137e+001	1.656e-002
39202.3449000	-1.591e-002	1.356e-002	1.197e-002	2.133e+001	1.605e-002
39202.3452500	-1.590e-002	1.376e-002	1.466e-002	2.137e+001	1.635e-002
39202.3455900	-1.590e-002	1.389e-002	1.197e-002	2.137e+001	1.656e-002
39202.3459400	-1.590e-002	1.376e-002	1.197e-002	2.137e+001	1.635e-002
39202.3462900	-1.589e-002	1.389e-002	1.339e-002	2.137e+001	1.656e-002
39202.3466300	-1.589e-002	1.389e-002	1.197e-002	2.137e+001	1.656e-002
39202.3469800	-1.590e-002	1.376e-002	1.339e-002	2.137e+001	1.635e-002
39202.3473300	-1.590e-002	1.376e-002	1.197e-002	2.137e+001	1.635e-002
39202.3476800	-1.590e-002	1.389e-002	1.197e-002	2.137e+001	1.656e-002
39202.3480200	-1.588e-002	1.395e-002	1.466e-002	2.141e+001	1.666e-002
39202.3483700	-1.587e-002	1.395e-002	1.197e-002	2.141e+001	1.666e-002
39202.3487200	-1.586e-002	1.414e-002	1.339e-002	2.145e+001	1.697e-002
39202.3490600	-1.587e-002	1.395e-002	8.467e-003	2.141e+001	1.666e-002
39202.3494100	-1.588e-002	1.395e-002	1.197e-002	2.141e+001	1.666e-002
39202.3497600	-1.588e-002	1.395e-002	1.339e-002	2.141e+001	1.666e-002
39202.3501100	-1.587e-002	1.414e-002	1.197e-002	2.145e+001	1.697e-002
39202.3504500	-1.588e-002	1.415e-002	1.466e-002	2.145e+001	1.697e-002
39202.3508000	-1.587e-002	1.414e-002	1.466e-002	2.145e+001	1.697e-002
39202.3511500	-1.587e-002	1.414e-002	1.466e-002	2.145e+001	1.697e-002
39202.3515000	-1.588e-002	1.415e-002	1.339e-002	2.145e+001	1.697e-002
39202.3518400	-1.587e-002	1.434e-002	1.197e-002	2.149e+001	1.728e-002
39202.3521900	-1.587e-002	1.434e-002	1.197e-002	2.149e+001	1.728e-002
39202.3525400	-1.586e-002	1.434e-002	1.339e-002	2.149e+001	1.728e-002
39202.3528800	-1.587e-002	1.434e-002	1.584e-002	2.149e+001	1.728e-002
39202.3532300	-1.587e-002	1.434e-002	1.584e-002	2.149e+001	1.728e-002
39202.3535800	-1.587e-002	1.434e-002	1.693e-002	2.149e+001	1.728e-002
39202.3539300	-1.587e-002	1.434e-002	1.796e-002	2.149e+001	1.728e-002
39202.3542700	-1.586e-002	1.434e-002	1.466e-002	2.149e+001	1.728e-002
39202.3546200	-1.587e-002	1.434e-002	1.339e-002	2.149e+001	1.728e-002
39202.3549700	-1.585e-002	1.467e-002	1.466e-002	2.153e+001	1.780e-002
39202.3553100	-1.585e-002	1.467e-002	1.339e-002	2.153e+001	1.780e-002
39202.3556600	-1.585e-002	1.454e-002	1.796e-002	2.153e+001	1.759e-002
39202.3560100	-1.585e-002	1.454e-002	1.584e-002	2.153e+001	1.759e-002
39202.3563600	-1.584e-002	1.454e-002	1.584e-002	2.153e+001	1.759e-002
39202.3567000	-1.585e-002	1.454e-002	1.339e-002	2.153e+001	1.759e-002
39202.3570500	-1.585e-002	1.454e-002	1.466e-002	2.153e+001	1.759e-002
39202.3574000	-1.585e-002	1.454e-002	1.693e-002	2.153e+001	1.759e-002
39202.3577500	-1.585e-002	1.441e-002	1.796e-002	2.153e+001	1.739e-002
39202.3580900	-1.585e-002	1.454e-002	1.796e-002	2.153e+001	1.759e-002
39202.3584400	-1.585e-002	1.454e-002	1.796e-002	2.153e+001	1.759e-002
39202.3587900	-1.585e-002	1.454e-002	1.584e-002	2.153e+001	1.759e-002
39202.3591300	-1.585e-002	1.454e-002	1.584e-002	2.153e+001	1.759e-002
39202.3594800	-1.584e-002	1.474e-002	1.584e-002	2.157e+001	1.791e-002
39202.3598300	-1.584e-002	1.474e-002	1.693e-002	2.157e+001	1.791e-002
39202.3601800	-1.584e-002	1.474e-002	1.693e-002	2.157e+001	1.791e-002
39202.3605200	-1.584e-002	1.474e-002	1.584e-002	2.157e+001	1.791e-002
39202.3608700	-1.583e-002	1.473e-002	1.893e-002	2.157e+001	1.791e-002
39202.3612200	-1.584e-002	1.487e-002	1.693e-002	2.157e+001	1.812e-002
39202.3615600	-1.582e-002	1.494e-002	1.693e-002	2.161e+001	1.822e-002
