Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39539.3337100	2.953e+001	3.573e+001	2.319e-002	2.189e+001	6.569e+001
39539.3340500	2.885e+001	3.709e+001	4.937e-002	2.225e+001	6.759e+001
39539.3344000	3.191e+001	3.788e+001	2.319e-002	2.261e+001	6.982e+001
39539.3347500	3.402e+001	4.069e+001	1.986e-002	2.293e+001	7.493e+001
39539.3350900	3.440e+001	4.146e+001	4.599e-002	2.317e+001	7.626e+001
39539.3354400	4.737e+001	5.427e+001	6.476e-002	2.329e+001	5.909e+001
39539.3357900	3.774e+001	2.948e+001	6.164e-002	2.325e+001	5.857e+001
39539.3361400	3.212e+001	3.563e+001	3.279e-002	2.341e+001	6.638e+001
39539.3364800	3.259e+001	3.591e+001	4.317e-002	2.361e+001	6.697e+001
39539.3368300	3.211e+001	3.677e+001	1.693e-002	2.369e+001	6.816e+001
39539.3371800	3.220e+001	3.646e+001	1.796e-002	2.389e+001	6.770e+001
39539.3375300	3.226e+001	3.696e+001	1.466e-002	2.405e+001	6.851e+001
39539.3378700	3.217e+001	3.775e+001	3.168e-002	2.413e+001	6.972e+001
39539.3382200	3.195e+001	3.789e+001	1.893e-002	2.421e+001	6.986e+001
39539.3385700	3.240e+001	3.677e+001	1.796e-002	2.437e+001	6.825e+001
39539.3389100	3.180e+001	3.647e+001	1.584e-002	2.445e+001	6.759e+001
39539.3392600	3.196e+001	3.652e+001	1.584e-002	2.453e+001	6.772e+001
39539.3396100	3.212e+001	3.691e+001	1.466e-002	2.461e+001	6.839e+001
39539.3399600	3.241e+001	3.694e+001	2.319e-002	2.469e+001	6.852e+001
39539.3403000	3.219e+001	3.707e+001	2.871e-002	2.477e+001	6.866e+001
39539.3406500	3.237e+001	3.785e+001	2.395e-002	2.489e+001	6.994e+001
39539.3410000	3.357e+001	4.001e+001	1.893e-002	2.497e+001	7.371e+001
39539.3413400	3.413e+001	3.885e+001	2.468e-002	2.501e+001	7.208e+001
39539.3416900	3.453e+001	3.949e+001	2.240e-002	2.501e+001	7.321e+001
39539.3420400	3.452e+001	3.999e+001	4.016e-002	2.497e+001	7.400e+001
39539.3423900	3.409e+001	3.985e+001	3.053e-002	2.493e+001	7.364e+001
39539.3427300	3.396e+001	3.880e+001	5.552e-002	2.493e+001	7.194e+001
39539.3430800	3.266e+001	4.002e+001	6.105e-002	2.497e+001	7.342e+001
39539.3434300	3.264e+001	3.925e+001	3.926e-002	2.493e+001	7.222e+001
39539.3437800	3.146e+001	3.817e+001	3.168e-002	2.485e+001	7.014e+001
39539.3441200	2.952e+001	3.633e+001	5.520e-002	2.481e+001	6.662e+001
39539.3444700	2.869e+001	3.679e+001	7.852e-002	2.477e+001	6.707e+001
39539.3448200	2.800e+001	3.673e+001	7.620e-002	2.473e+001	6.675e+001
39539.3451600	2.398e+001	3.083e+001	7.737e-002	2.469e+001	5.618e+001
39539.3455100	2.134e+001	2.600e+001	3.926e-002	2.457e+001	4.775e+001
39539.3458600	2.261e+001	2.612e+001	1.513e-001	2.445e+001	4.835e+001
39539.3462100	2.991e+001	3.823e+001	5.616e-002	2.461e+001	6.973e+001
39539.3465500	2.778e+001	3.589e+001	4.317e-002	2.529e+001	6.535e+001
39539.3469000	2.758e+001	3.578e+001	4.317e-002	2.593e+001	6.512e+001
39539.3472500	3.158e+001	3.926e+001	3.387e-002	2.633e+001	7.189e+001
39539.3475900	3.138e+001	3.926e+001	3.168e-002	2.645e+001	7.182e+001
39539.3479400	2.573e+001	3.687e+001	7.283e-002	2.661e+001	6.622e+001
39539.3482900	2.855e+001	2.563e+001	5.552e-002	2.645e+001	4.954e+001
39539.3486400	3.040e+001	2.623e+001	2.610e-002	2.613e+001	5.107e+001
39539.3489800	3.049e+001	2.706e+001	2.240e-002	2.577e+001	5.240e+001
39539.3493300	2.886e+001	2.250e+001	1.584e-002	2.549e+001	4.472e+001
39539.3496800	2.409e+001	2.400e+001	1.796e-002	2.529e+001	2.622e+001
39539.3500300	2.727e+001	2.104e+001	9.964e-002	2.509e+001	4.191e+001
39539.3503700	3.119e+001	3.464e+001	1.986e-002	2.509e+001	6.452e+001
39539.3507200	4.038e+001	5.705e+001	3.542e-002	2.517e+001	1.027e+002
39539.3510700	4.387e+001	6.644e+001	1.584e-002	2.517e+001	1.185e+002
39539.3514100	4.442e+001	6.758e+001	3.168e-002	2.521e+001	1.205e+002
39539.3517600	3.445e+001	4.150e+001	6.558e-002	2.513e+001	7.634e+001
39539.3521100	3.183e+001	3.536e+001	5.987e-002	2.513e+001	6.586e+001
39539.3524600	3.197e+001	3.537e+001	5.150e-002	2.517e+001	6.592e+001
39539.3528000	3.186e+001	3.544e+001	5.045e-002	2.521e+001	6.599e+001
39539.3531500	3.176e+001	3.501e+001	4.440e-002	2.525e+001	6.529e+001
39539.3535000	3.117e+001	3.394e+001	4.864e-002	2.533e+001	6.341e+001
39539.3538400	2.984e+001	3.120e+001	5.866e-002	2.533e+001	5.868e+001
39539.3541900	3.006e+001	3.170e+001	6.017e-002	2.529e+001	5.953e+001
39539.3545400	3.152e+001	3.430e+001	5.957e-002	2.529e+001	6.409e+001
39539.3548900	4.407e+001	6.387e+001	1.893e-002	2.521e+001	1.146e+002
39539.3552300	4.232e+001	5.944e+001	2.677e-002	2.513e+001	1.070e+002
39539.3555800	4.100e+001	5.686e+001	2.540e-002	2.513e+001	1.026e+002
39539.3559300	4.147e+001	6.035e+001	4.637e-002	2.509e+001	1.082e+002
39539.3562800	4.161e+001	6.107e+001	1.893e-002	2.505e+001	1.094e+002
39539.3566200	4.176e+001	6.044e+001	1.796e-002	2.501e+001	1.084e+002
39539.3569700	4.159e+001	5.888e+001	1.796e-002	2.501e+001	1.059e+002
39539.3573200	4.159e+001	5.888e+001	4.275e-002	2.501e+001	1.059e+002
39539.3576600	4.159e+001	6.128e+001	3.691e-002	2.501e+001	1.097e+002
39539.3580100	4.125e+001	5.784e+001	3.691e-002	2.497e+001	1.042e+002
39539.3583600	4.139e+001	5.958e+001	1.893e-002	2.493e+001	1.070e+002
39539.3587100	4.207e+001	5.924e+001	2.933e-002	2.497e+001	1.066e+002
39539.3590500	4.209e+001	6.010e+001	3.387e-002	2.501e+001	1.080e+002
39539.3594000	4.174e+001	6.146e+001	1.584e-002	2.497e+001	1.100e+002
39539.3597500	4.178e+001	6.158e+001	1.466e-002	2.505e+001	1.102e+002
39539.3600900	4.082e+001	5.812e+001	3.926e-002	2.509e+001	1.045e+002
39539.3604400	3.926e+001	5.210e+001	2.074e-002	2.513e+001	9.452e+001
39539.3607900	3.445e+001	4.245e+001	6.640e-002	2.513e+001	7.783e+001
39539.3611400	3.430e+001	4.282e+001	8.758e-002	2.509e+001	7.836e+001
39539.3614800	3.349e+001	4.071e+001	8.424e-002	2.509e+001	7.479e+001
39539.3618300	3.403e+001	4.005e+001	5.321e-002	2.509e+001	7.393e+001
39539.3621800	3.282e+001	3.759e+001	3.491e-002	2.505e+001	6.967e+001
39539.3625300	3.245e+001	3.754e+001	5.711e-002	2.509e+001	6.947e+001
39539.3628700	3.696e+001	4.796e+001	6.476e-002	2.505e+001	8.729e+001
39539.3632200	3.856e+001	5.132e+001	5.711e-002	2.497e+001	9.308e+001
39539.3635700	3.841e+001	5.021e+001	7.159e-002	2.497e+001	9.128e+001
39539.3639100	3.632e+001	4.459e+001	4.637e-002	2.493e+001	8.179e+001
39539.3642600	4.010e+001	5.450e+001	4.900e-002	2.493e+001	9.857e+001
39539.3646100	4.243e+001	5.896e+001	2.540e-002	2.501e+001	1.063e+002
39539.3649600	3.949e+001	5.372e+001	4.827e-002	2.497e+001	9.714e+001
39539.3653000	3.947e+001	5.319e+001	1.693e-002	2.493e+001	9.630e+001
39539.3656500	4.024e+001	5.442e+001	1.466e-002	2.489e+001	9.848e+001
39539.3660000	4.072e+001	5.655e+001	2.240e-002	2.489e+001	1.020e+002
39539.3663400	4.088e+001	5.627e+001	1.466e-002	2.489e+001	1.016e+002
39539.3666900	4.072e+001	5.530e+001	1.466e-002	2.489e+001	1.000e+002
39539.3670400	3.591e+001	4.432e+001	6.105e-002	2.497e+001	8.123e+001
39539.3673900	3.469e+001	4.173e+001	1.796e-002	2.505e+001	7.678e+001
39539.3677300	3.391e+001	4.067e+001	6.982e-002	2.513e+001	7.487e+001
39539.3680800	3.714e+001	4.803e+001	6.046e-002	2.513e+001	8.746e+001
39539.3684300	4.034e+001	5.494e+001	2.993e-002	2.509e+001	9.933e+001
39539.3687800	3.565e+001	4.343e+001	6.982e-002	2.501e+001	7.975e+001
39539.3691200	3.240e+001	3.742e+001	6.878e-002	2.497e+001	6.926e+001
39539.3694700	4.157e+001	5.829e+001	2.677e-002	2.497e+001	1.050e+002
39539.3698200	4.222e+001	5.810e+001	1.796e-002	2.493e+001	1.049e+002
39539.3701600	4.203e+001	5.756e+001	2.240e-002	2.489e+001	1.040e+002
39539.3705100	4.253e+001	5.875e+001	3.542e-002	2.489e+001	1.060e+002
39539.3708600	4.168e+001	5.861e+001	2.677e-002	2.485e+001	1.055e+002
39539.3712100	3.961e+001	5.382e+001	5.287e-002	2.489e+001	9.734e+001
39539.3715500	1.957e+001	1.767e+001	1.236e-001	2.489e+001	1.936e+001
39539.3719000	1.459e+001	8.399e+000	1.092e-001	2.461e+001	9.360e+000
39539.3722500	2.323e+001	1.596e+001	1.299e-001	2.441e+001	1.766e+001
39539.3725900	3.007e+001	2.133e+001	9.541e-002	2.413e+001	2.357e+001
39539.3729400	6.275e+001	4.308e+001	1.302e-001	2.389e+001	4.765e+001
39539.3732900	1.736e+001	1.495e+001	1.205e-001	2.377e+001	1.641e+001
39539.3736400	1.672e+001	1.342e+001	6.503e-002	2.365e+001	1.476e+001
39539.3739800	1.770e+001	1.376e+001	5.711e-002	2.373e+001	1.515e+001
39539.3743300	1.772e+001	1.385e+001	4.104e-002	2.381e+001	1.525e+001
39539.3746800	1.974e+001	1.554e+001	3.833e-002	2.385e+001	1.710e+001
39539.3750300	1.724e+001	1.161e+001	1.131e-001	2.385e+001	1.285e+001
39539.3753700	6.682e+000	3.671e+000	1.344e-001	2.377e+001	4.100e+000
39539.3757200	7.103e+000	3.476e+000	8.445e-002	2.385e+001	3.905e+000
39539.3760700	4.591e+000	3.611e+000	6.364e-002	2.373e+001	7.164e+000
39539.3764100	2.104e+001	1.662e+001	9.964e-002	2.361e+001	1.829e+001
39539.3767600	7.930e+000	5.855e+000	7.942e-002	2.333e+001	6.459e+000
39539.3771100	4.981e+000	3.972e+000	1.107e-001	2.321e+001	4.369e+000
39539.3774600	3.123e+000	2.751e+000	9.255e-002	2.269e+001	5.336e+000
39539.3778000	9.808e+001	1.166e+002	8.880e-002	2.241e+001	2.149e+002
39539.3781500	2.663e+002	3.211e+002	8.010e-002	2.261e+001	5.905e+002
39539.3785000	2.444e+002	2.938e+002	7.405e-002	2.293e+001	5.406e+002
39539.3788400	2.237e+002	2.798e+002	8.655e-002	2.337e+001	5.119e+002
39539.3791900	2.314e+002	2.865e+002	7.667e-002	2.369e+001	5.250e+002
39539.3795400	1.962e+002	2.392e+002	4.973e-002	2.397e+001	4.393e+002
39539.3798900	2.146e+002	2.611e+002	5.927e-002	2.429e+001	4.795e+002
39539.3802300	2.142e+002	2.629e+002	7.259e-002	2.461e+001	4.823e+002
39539.3805800	1.615e+002	1.948e+002	6.720e-002	2.493e+001	3.583e+002
39539.3809300	2.075e+002	2.545e+002	7.965e-002	2.517e+001	4.668e+002
39539.3812800	2.665e+002	3.457e+002	7.259e-002	2.537e+001	6.293e+002
39539.3816200	2.401e+002	3.050e+002	7.209e-002	2.569e+001	5.567e+002
39539.3819700	3.094e+002	3.995e+002	7.259e-002	2.593e+001	7.276e+002
39539.3823200	4.148e+002	5.173e+002	4.399e-002	2.617e+001	9.467e+002
39539.3826600	4.087e+002	5.161e+002	6.476e-002	2.641e+001	9.430e+002
39539.3830100	3.623e+002	4.541e+002	7.209e-002	2.669e+001	8.306e+002
39539.3833600	3.249e+002	4.095e+002	8.231e-002	2.693e+001	7.484e+002
39539.3837100	1.282e+002	1.447e+002	9.560e-002	2.709e+001	2.689e+002
39539.3840500	9.812e+000	1.224e+001	7.667e-002	2.713e+001	2.239e+001
39539.3844000	8.941e+000	7.770e+000	1.152e-001	2.585e+001	8.524e+000
39539.3847500	8.845e+000	5.485e+000	6.448e-002	2.501e+001	6.092e+000
39539.3850900	7.459e+000	5.303e+000	1.005e-001	2.501e+001	5.858e+000
39539.3854400	3.570e+000	3.025e+000	1.020e-001	2.469e+001	5.911e+000
39539.3857900	8.082e+000	8.665e+000	8.634e-002	2.417e+001	9.450e+000
39539.3861400	1.627e+001	1.157e+001	9.428e-002	2.393e+001	1.278e+001
39539.3864800	1.064e+001	1.142e+001	1.175e-001	2.373e+001	1.246e+001
39539.3868300	1.645e+001	1.584e+001	1.035e-001	2.337e+001	1.733e+001
39539.3871800	4.440e+000	4.305e+000	1.217e-001	2.305e+001	8.202e+000
39539.3875300	2.566e+000	2.404e+000	1.120e-001	2.269e+001	2.631e+000
39539.3878700	3.542e+000	3.819e+000	6.076e-002	2.257e+001	7.147e+000
39539.3882200	2.991e+000	3.006e+000	6.904e-002	2.273e+001	5.692e+000
39539.3885700	3.798e+000	4.165e+000	3.333e-002	2.285e+001	7.773e+000
39539.3889100	3.404e+000	3.677e+000	6.279e-002	2.297e+001	6.879e+000
39539.3892600	2.909e+000	2.476e+000	1.385e-001	2.293e+001	4.835e+000
39539.3896100	2.903e+001	1.654e+001	1.130e-001	2.241e+001	1.844e+001
39539.3899600	8.977e+001	5.617e+001	8.317e-002	2.233e+001	6.237e+001
39539.3903000	8.206e+001	4.973e+001	7.620e-002	2.253e+001	5.530e+001
39539.3906500	8.622e+001	5.213e+001	7.806e-002	2.269e+001	5.797e+001
39539.3910000	8.167e+001	5.058e+001	1.018e-001	2.285e+001	5.619e+001
39539.3913400	3.155e+001	1.849e+001	1.153e-001	2.297e+001	2.059e+001
39539.3916900	4.137e+001	2.178e+001	9.819e-002	2.297e+001	2.437e+001
39539.3920400	7.701e+000	9.482e+000	1.083e-001	2.281e+001	1.031e+001
39539.3923900	4.779e+000	6.990e-001	2.306e-001	2.253e+001	8.848e-001
39539.3927300	2.052e+001	9.392e+000	7.596e-002	2.217e+001	1.059e+001
39539.3930800	1.451e+000	5.076e-001	4.973e-002	2.173e+001	5.825e-001
39539.3934300	5.618e+000	3.669e+000	1.584e-002	2.137e+001	4.067e+000
39539.3937800	5.619e+000	3.719e+000	1.466e-002	2.117e+001	4.120e+000
39539.3941200	5.625e+000	3.697e+000	1.986e-002	2.101e+001	4.097e+000
