Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39577.4920400	1.543e+001	1.195e+001	1.148e-001	1.603e+001	2.379e+001
39577.4923900	1.297e+001	1.636e+001	7.942e-002	1.639e+001	1.777e+001
39577.4927300	1.171e+001	1.426e+001	8.403e-002	1.667e+001	1.550e+001
39577.4930800	9.707e+000	1.130e+001	7.501e-002	1.687e+001	1.230e+001
39577.4934300	1.026e+001	1.245e+001	6.956e-002	1.711e+001	1.354e+001
39577.4937800	1.322e+001	1.085e+001	8.717e-002	1.727e+001	2.134e+001
39577.4941200	1.346e+001	1.101e+001	1.052e-001	1.739e+001	2.167e+001
39577.4944700	6.761e+000	6.779e+000	1.011e-001	1.751e+001	7.406e+000
39577.4948200	6.760e+001	4.815e+001	9.333e-002	1.735e+001	5.318e+001
39577.4951600	9.066e+000	1.128e+001	1.196e-001	1.727e+001	1.225e+001
39577.4955100	1.045e+001	1.270e+001	8.054e-002	1.723e+001	1.381e+001
39577.4958600	1.024e+001	1.212e+001	7.829e-002	1.743e+001	1.319e+001
39577.4962100	1.036e+001	1.281e+001	7.283e-002	1.763e+001	1.392e+001
39577.4965500	1.046e+001	7.358e+000	8.467e-002	1.775e+001	1.496e+001
39577.4969000	8.773e+000	1.118e+001	1.309e-001	1.787e+001	1.214e+001
39577.4972500	9.280e+000	6.598e+000	1.081e-001	1.791e+001	1.338e+001
39577.4975900	9.486e+000	7.155e+000	9.709e-002	1.803e+001	1.432e+001
39577.4979400	9.530e+000	7.342e+000	6.046e-002	1.807e+001	1.463e+001
39577.4982900	9.819e+000	7.505e+000	5.804e-002	1.819e+001	1.498e+001
39577.4986400	9.186e+000	6.599e+000	1.047e-001	1.823e+001	1.335e+001
39577.4989800	8.580e+000	6.269e+000	4.233e-002	1.839e+001	1.264e+001
39577.4993300	6.110e+000	6.674e+000	1.092e-001	1.843e+001	7.275e+000
39577.4996800	1.613e+001	1.251e+001	1.007e-001	1.831e+001	2.490e+001
39577.5000300	2.412e+001	2.194e+001	5.150e-002	1.823e+001	4.230e+001
39577.5003700	2.444e+001	2.193e+001	5.421e-002	1.831e+001	4.239e+001
39577.5007200	2.587e+001	2.398e+001	7.283e-002	1.843e+001	4.606e+001
39577.5010700	2.376e+001	2.046e+001	6.531e-002	1.855e+001	3.986e+001
39577.5014100	2.426e+001	2.134e+001	6.747e-002	1.863e+001	4.141e+001
39577.5017600	2.400e+001	2.135e+001	6.222e-002	1.871e+001	4.133e+001
39577.5021100	2.394e+001	2.121e+001	6.135e-002	1.879e+001	4.109e+001
39577.5024600	2.379e+001	2.112e+001	7.852e-002	1.891e+001	4.089e+001
39577.5028000	2.466e+001	2.224e+001	7.549e-002	1.895e+001	4.295e+001
39577.5031500	2.337e+001	2.108e+001	6.076e-002	1.903e+001	4.070e+001
39577.5035000	2.349e+001	2.111e+001	7.501e-002	1.911e+001	4.079e+001
39577.5038400	2.436e+001	2.119e+001	5.648e-002	1.919e+001	4.120e+001
39577.5041900	2.419e+001	2.158e+001	6.800e-002	1.923e+001	4.174e+001
39577.5045400	2.430e+001	2.345e+001	8.077e-002	1.927e+001	4.472e+001
39577.5048900	2.449e+001	2.112e+001	6.558e-002	1.927e+001	4.113e+001
39577.5052300	2.450e+001	2.135e+001	6.878e-002	1.931e+001	4.150e+001
39577.5055800	2.394e+001	2.347e+001	6.904e-002	1.935e+001	4.463e+001
39577.5059300	2.453e+001	2.248e+001	6.640e-002	1.939e+001	4.328e+001
39577.5062800	2.368e+001	2.201e+001	6.667e-002	1.939e+001	4.226e+001
39577.5066200	2.492e+001	2.273e+001	6.826e-002	1.939e+001	4.380e+001
39577.5069700	2.644e+001	2.378e+001	7.259e-002	1.939e+001	4.594e+001
39577.5073200	2.475e+001	2.250e+001	7.690e-002	1.947e+001	4.337e+001
39577.5076600	2.454e+001	2.218e+001	6.558e-002	1.943e+001	4.281e+001
39577.5080100	2.495e+001	2.245e+001	6.826e-002	1.947e+001	4.337e+001
39577.5083600	2.454e+001	2.229e+001	6.800e-002	1.943e+001	4.298e+001
39577.5087100	2.573e+001	2.327e+001	6.586e-002	1.943e+001	4.491e+001
39577.5090500	2.536e+001	2.284e+001	6.640e-002	1.951e+001	4.412e+001
39577.5094000	2.639e+001	2.451e+001	5.742e-002	1.955e+001	4.707e+001
39577.5097500	2.639e+001	2.334e+001	6.193e-002	1.955e+001	4.523e+001
39577.5100900	2.460e+001	2.284e+001	7.690e-002	1.959e+001	4.386e+001
39577.5104400	5.157e+001	5.401e+001	7.525e-002	1.959e+001	1.016e+002
39577.5107900	3.165e+001	3.006e+001	8.382e-002	1.959e+001	5.749e+001
39577.5111400	2.622e+001	2.473e+001	6.076e-002	1.963e+001	4.735e+001
39577.5114800	2.611e+001	2.499e+001	7.033e-002	1.963e+001	4.773e+001
39577.5118300	2.613e+001	2.576e+001	5.835e-002	1.967e+001	4.894e+001
39577.5121800	2.772e+001	2.362e+001	8.551e-002	1.967e+001	4.610e+001
39577.5125300	2.665e+001	2.372e+001	8.143e-002	1.967e+001	4.592e+001
39577.5128700	3.024e+001	2.620e+001	8.778e-002	1.971e+001	5.098e+001
39577.5132200	2.464e+001	2.360e+001	5.957e-002	1.971e+001	4.506e+001
39577.5135700	2.513e+001	2.454e+001	6.017e-002	1.971e+001	4.670e+001
39577.5139100	3.072e+001	2.769e+001	9.910e-002	1.971e+001	5.347e+001
39577.5142600	2.535e+001	2.406e+001	6.640e-002	1.975e+001	4.602e+001
39577.5146100	2.426e+001	2.461e+001	5.774e-002	1.971e+001	4.652e+001
39577.5149600	3.325e+001	2.901e+001	8.209e-002	1.975e+001	5.636e+001
39577.5153000	2.833e+001	2.619e+001	2.933e-002	1.983e+001	5.033e+001
39577.5156500	2.421e+001	2.064e+001	6.392e-002	1.983e+001	4.028e+001
39577.5160000	2.889e+001	2.658e+001	7.760e-002	1.983e+001	5.114e+001
39577.5163400	2.508e+001	2.371e+001	4.148e-002	1.983e+001	4.538e+001
39577.5166900	2.440e+001	2.261e+001	7.184e-002	1.983e+001	4.344e+001
39577.5170400	2.084e+001	1.687e+001	7.381e-002	1.983e+001	3.328e+001
39577.5173900	3.027e+001	2.665e+001	8.317e-002	1.979e+001	5.170e+001
39577.5177300	2.671e+001	2.467e+001	5.185e-002	1.983e+001	4.741e+001
39577.5180800	3.395e+001	2.908e+001	8.317e-002	1.983e+001	5.671e+001
39577.5184300	2.724e+001	2.529e+001	4.676e-002	1.983e+001	4.856e+001
39577.5187800	2.598e+001	2.364e+001	3.880e-002	1.983e+001	4.557e+001
39577.5191200	2.475e+001	2.281e+001	5.150e-002	1.975e+001	4.387e+001
39577.5194700	2.575e+001	2.340e+001	5.866e-002	1.975e+001	4.511e+001
39577.5198200	2.575e+001	2.351e+001	7.308e-002	1.975e+001	4.529e+001
39577.5201600	2.616e+001	2.354e+001	5.552e-002	1.975e+001	4.547e+001
39577.5205100	2.604e+001	2.388e+001	7.209e-002	1.971e+001	4.597e+001
39577.5208600	2.625e+001	2.407e+001	4.973e-002	1.971e+001	4.633e+001
39577.5212100	2.999e+001	2.849e+001	7.332e-002	1.967e+001	5.449e+001
39577.5215500	2.552e+001	2.282e+001	5.957e-002	1.967e+001	4.413e+001
39577.5219000	2.614e+001	2.363e+001	7.643e-002	1.971e+001	4.560e+001
39577.5222500	2.563e+001	2.397e+001	6.640e-002	1.971e+001	4.597e+001
39577.5225900	2.553e+001	2.410e+001	7.033e-002	1.971e+001	4.615e+001
39577.5229400	2.575e+001	2.409e+001	7.033e-002	1.975e+001	4.620e+001
39577.5232900	1.644e+001	1.311e+001	8.530e-002	1.975e+001	2.594e+001
39577.5236400	1.795e+002	2.259e+002	1.078e-001	1.951e+001	4.128e+002
39577.5239800	3.116e+001	3.078e+001	1.069e-001	1.931e+001	5.846e+001
39577.5243300	1.257e+001	1.449e+001	1.184e-001	1.923e+001	1.577e+001
39577.5246800	2.496e+001	2.375e+001	8.054e-002	1.895e+001	4.541e+001
39577.5250300	2.516e+001	2.465e+001	6.800e-002	1.895e+001	4.689e+001
39577.5253700	2.528e+001	2.469e+001	6.852e-002	1.903e+001	4.698e+001
39577.5257200	2.482e+001	2.345e+001	6.164e-002	1.911e+001	4.488e+001
39577.5260700	2.534e+001	2.421e+001	7.159e-002	1.919e+001	4.625e+001
