Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39493.3476100	-1.212e-002	3.480e-003	1.197e-002	1.757e+001	1.483e-003
39493.3479500	-1.212e-002	3.480e-003	1.339e-002	1.757e+001	1.483e-003
39493.3483000	-1.212e-002	3.480e-003	1.197e-002	1.757e+001	1.483e-003
39493.3486500	-1.211e-002	3.594e-003	1.197e-002	1.761e+001	1.664e-003
39493.3490000	-1.212e-002	4.022e-003	4.900e-002	1.757e+001	2.333e-003
39493.3493400	1.036e+000	1.475e+000	1.805e-001	1.765e+001	2.651e+000
39493.3496900	6.969e+001	5.232e+001	2.083e-001	1.789e+001	5.768e+001
39493.3500400	4.372e+001	2.503e+001	1.059e-001	1.837e+001	2.790e+001
39493.3503800	2.232e+001	1.284e+001	1.542e-001	1.873e+001	1.431e+001
39493.3507300	1.919e+001	1.172e+001	1.333e-001	1.869e+001	1.303e+001
39493.3510800	1.360e+001	8.426e+000	1.351e-001	1.725e+001	9.360e+000
39493.3514300	3.148e+001	2.040e+001	1.009e-001	1.693e+001	2.262e+001
39493.3517700	3.240e+001	2.830e+001	1.115e-001	1.729e+001	3.104e+001
39493.3521200	2.072e+001	1.132e+001	9.466e-002	1.773e+001	1.265e+001
39493.3524700	2.584e+001	1.507e+001	1.187e-001	1.817e+001	1.679e+001
39493.3528100	1.975e+001	1.347e+001	1.011e-001	1.849e+001	1.491e+001
39493.3531600	1.983e+001	1.758e+001	4.275e-002	1.877e+001	1.928e+001
39493.3535100	2.173e+001	1.947e+001	8.339e-002	1.909e+001	2.133e+001
39493.3538600	2.478e+001	2.261e+001	6.364e-002	1.941e+001	2.477e+001
39493.3542000	1.506e+001	1.398e+001	2.420e-001	1.965e+001	1.531e+001
39493.3545500	2.068e+001	1.930e+001	1.148e-001	2.001e+001	2.113e+001
39493.3549000	2.045e+001	1.788e+001	4.480e-002	2.033e+001	1.961e+001
39493.3552500	1.704e+001	1.465e+001	5.680e-002	2.049e+001	1.608e+001
39493.3555900	2.123e+001	1.954e+001	9.819e-002	2.073e+001	2.140e+001
39493.3559400	2.471e+001	2.284e+001	6.017e-002	2.089e+001	2.501e+001
39493.3562900	2.024e+001	1.853e+001	5.804e-002	2.097e+001	2.030e+001
39493.3566300	3.037e+001	2.904e+001	5.321e-002	2.105e+001	3.177e+001
39493.3569800	2.459e+001	2.310e+001	6.364e-002	2.113e+001	2.528e+001
39493.3573300	2.231e+001	2.076e+001	7.573e-002	2.117e+001	2.273e+001
39493.3576800	3.059e+001	3.008e+001	5.866e-002	2.129e+001	3.288e+001
39493.3580200	2.477e+001	2.278e+001	7.109e-002	2.137e+001	2.495e+001
39493.3583700	2.469e+001	2.262e+001	4.480e-002	2.141e+001	2.478e+001
39493.3587200	2.579e+001	2.445e+001	7.234e-002	2.145e+001	2.675e+001
39493.3590600	2.081e+001	1.800e+001	8.880e-002	2.153e+001	1.975e+001
39493.3594100	9.186e+000	9.859e+000	1.277e-001	2.141e+001	1.075e+001
39493.3597600	8.842e+000	7.616e+000	1.211e-001	2.125e+001	8.357e+000
39493.3601100	2.324e+001	2.081e+001	1.056e-001	2.101e+001	2.281e+001
39493.3604500	2.828e+001	2.678e+001	7.620e-002	2.101e+001	2.931e+001
39493.3608000	2.185e+001	2.090e+001	9.000e-002	2.109e+001	2.286e+001
39493.3611500	2.008e+001	1.969e+001	9.255e-002	2.121e+001	2.153e+001
39493.3615000	2.082e+001	1.948e+001	8.467e-002	2.129e+001	2.132e+001
39493.3618400	2.236e+001	2.147e+001	9.371e-002	2.133e+001	2.348e+001
39493.3621900	6.121e+000	3.053e+000	1.273e-001	2.133e+001	3.426e+000
39493.3625400	6.855e+000	4.051e+000	1.141e-001	2.129e+001	4.509e+000
39493.3628800	9.076e+000	7.589e+000	9.691e-002	2.117e+001	8.336e+000
39493.3632300	5.013e+000	4.240e+000	1.407e-001	2.117e+001	4.655e+000
39493.3635800	4.427e+000	3.433e+000	1.014e-001	2.105e+001	3.780e+000
39493.3639300	4.831e+000	3.632e+000	1.234e-001	2.109e+001	4.004e+000
39493.3642700	1.198e+001	7.839e+000	1.294e-001	2.109e+001	8.688e+000
39493.3646200	1.584e+001	1.155e+001	1.234e-001	2.085e+001	1.274e+001
39493.3649700	2.661e+001	2.585e+001	5.115e-002	2.085e+001	2.826e+001
39493.3653100	2.080e+001	1.820e+001	5.648e-002	2.093e+001	1.996e+001
39493.3656600	2.176e+001	2.090e+001	4.060e-002	2.109e+001	2.286e+001
39493.3660100	2.030e+001	1.958e+001	4.399e-002	2.117e+001	2.142e+001
